,title,date,body
0,Letter from the Dean of the College.,21 December 1898,"EDITOR COLUMBIA SPECTATOR : DEAR SIR: —The past year has been one of marked prosperity in the affairs of the College. The number of students has been larger than ever before, and the general tone and spirit have been admirable. Such a thing as "" college discipline,"" in the old sense of the phrase, or any occasion for it, is practically unknown. Times have changed and we have changed with them. The temptations to disorder that once assailed a body of college students seem to have, here, substantially lost their compelling force. In their place are other allurements, to entice unwary, inattent_ ive and weak young men away from the straight and rugged path that leads to knowledge and character —We can't! we can't, no way in this world, escape trouble,"" said Captain Pliaro Kobbe of the Basin. But the temptations are of a different sort, and to another and less jejune side of a student's character. ' They are none the less and are possibly more dangerous., but they lead to different manifestations: they require another kind of watchfulness on the part of those subjected to them, and other treatment, principally of counsel and encouragement, on the part of the responsible officers. s „ The removal to Morningside .Heights, and. the experience of a year here, have had something to do with this—though the happy transformation was well under way before the departure from Forty-ninth Street. The influence of the curriculum which was put into full effect a year ago, and by which liberty of election, within wise limits, is allowed every student, has had something more to do with it: as have, also, the presence of a large body of university students earnestly pursuing,Undet favorable conditions,' advanced courses for the love of learning- or for the acquirement of a profession; the library and great departmental buildings, magnificent and imposing without, and within attractive and inspiring by reason of their thorough equipment and most liberal and effective administration; the ample and perfectly appointed gymnasium, to which mere verbal description can scarcely do justice, and which, to be fully appreciated, "" needs but to be seen."" Surely, the Columbia College student of to-day may well say: ""The lot is fallen unto me in a fair ground; yea, I have a goodly heritage."" In the Christmas salutations and general congratulations which I here offer to the college students, I regret, more than I ean well express, that I can not felicitate them upon the completion of commodious college dormitories and upon the near prospect of a proper College Hall. With these most desirable, not. to say necessary, accompaniments of the unrivalled educational opportunities offered by Columbia, it is hardly an exaggeration to say that the number of students: in the College would be mo;re than doubled within a very few years. H 'ynvo h For the erection of dormitories, the first steps have been taken. At their December meeting, the Trustees approved the general plan of four dormitories to be placed upon the Green, two. on. One Hundred and Twentieth Street and two adjoining them, one on Amsterdam vAvenue and the other on the Boulevard, and declared their purpose to build them as soon as means therefor shall be provided by gift or legacy."" One-deter-rent to expansion is thus put in .the way of removal. •. ... ' * Toward a College Hall that shall express the important place held by the old College in the general university scheme, nothing, at least nothing effective; has been done, hv As, in time ' long past, Cato, fearing for his beloved Rome the recuperative and aggrres-sive power of Carthage, was wont to end his every address, whatever the subject, Preeterea censeo, Carthaginem esse delendam; and as, in the days preceding our Civil War, Henry Ward Beecher, dreading the evil effect upon his country of human bondage at the South, introduced into every public speech that he made a denunciation of slavery ; so I, in a constructive rather than a destructive spirit, following them, non passibus cequis, and, from the intrinsic merit of the object, hoping for some measure of their success, must urge, in every communication that I am privileged to make to Columbia men, the crying need of a dignified and splendid College Hall. The present makeshift is a standing reproach. Already too long has it been allowed to cumber the ground, to wound the sensibilities of the Alumni and mortify the pride of the undergraduates, and to give a wrongful impression to the multitudes who visit the University. Will not some lover of his Alma Mater , some generous and highminded citizen —alive to the vital importance of. providing, and providing here, thorough fundamental training, , a broad and liberal education, for the youth of this great community—do away with this indignity ? Amid the stately buildings upon this site, in . the near neighborhood of the Cathedral, the Hospital, and the Monument, dedicated to our Holy Religion, to divine compassion, and to patriotism, at the crown of this cosmopolitan city that is the gateway of a continent, where could a memorial of a man and his beneficent public spirit be more conspicuously placed? And what memorial could bd more noble and enduring than a worthy home of the ""Liberal Arts and Sciences,"" a fit Temple of the Humanities ? a temple wherein "" The inward service of the .mind and soul Grows wide withal.'"" , Respectfully, V, V'. .J < . .... • ' J. H. VAN -AMRINGE. Columbia College, December 15, 1898. ; •"
1,Faculty Resolutions Listed,8 January 1937,"The complete text of the Resolutions passed upon by the Faculty follows: 1. That the course Contemporary Civilization A be reduced from five hours per week to four hours per week, with four points credit toward the degree for each session. 2. That the course English A be discontinued as a required course for the Bachelor of Arts degree. 3. That a two-year course to be known as Humanities A and B be organized as a required course for the Bachelor of Arts degree, meeting four hours per week and carrying four points credit during each session of the first year, and two hours per week with two points credit during each session of the second year; that the course be conducted with the cooperation of the Departments of Greek and Latin, English and Comparative Literature, Fine Arts, Music, Philosophy and the modern foreign languages; and that the course be under the administrative charge of the Committee on instruction which shall appoint an operating committee consisting of representatives of the abovementioned departments. With permission of the Committee on Instruction a student may substi-tute for Humanities B a year of advanced work of not less than three hours a week in one of the humanistic fields. 4. That in conjunction with the requirement in English C, each student in the freshman year be required to write one or more essays, aggregating 5000 words, in connection with such first-year courses as may be appropriate; that in the sophomore year each student be required to write a single 5000 word essay in connection with one of his courses; and that these requirements be administered by the Department of English with the advice and assistance of the instructors in whose courses the essays are written. 5. That the present course requirement for the degree in foreign languages be replaced by a requirement of proficiency in reading one of the following foreign languages—French, German, Greek or Latin, or another language with special permission of the Committee on Instruction; that the level of proficiency be set as follows: (1) in the case of a language presented for admission, at the point normally achieved by one year of College work following the' three yearsrequired for admission, or (2) in the case of a language not presented for admission, at the point normally achieved by two years of College work; that proficiency be determined by means of a test known as Langauge A; that the tests be administered by a committee organized under the Committee on Instruction and having a majority of its members from the foreign language departments; and that students now in residence be permitted, if they so choose, to satisfy the requirement in foreign languages by passing the above-described tests instead of fulfilling the old course requirements. 6. Resolutions One through Five shall become operative for students entering College in 1937."
2,"Edman Describes Values Of Humanities Sequence Develops Judgement Of Literary Works, Professor Says",20 September 1937,"Develops Judgement Of Literary Works, Professor SaysBy IRWIN EDMAN(Invin Edman is Professor of Philosophy at Columbia and is Chairman of the program committee of Humanities A.) Perhaps the best way of describing the new Humanities A course, which will be required of all freshmen begining this fall, is to point out certain things which it is not, and which it is not intended to be, and which, in so far as things can be arranged in advance, there is no possibility of its becoming. It is not, in the usual and objectionable sense of that term, or indeed in any sense of the term, a ""survey"" course. It is not, and is not intended to be, a ""Cook's Tour through the history of European literature and philosophy. It is not a series of tid-bits from the Great Books of the World, designed to insure ""General Culture."" The positive aim of the course is perhaps adequately described in the first sentence of the announcement in the Columbia College catalogue. The aim of this course is to develop in the student literary taste and judgment, as well as habits of philosophical analysis, through a careful acquaintance with a series, in more or less chronological order, of the outstanding masterpieces in the literature and philosophy of the European tradition. Range from Homer to Goethe The readings range in time from Homer to Goethe; they include in type, plays: two from each of the great Greek dramatists in the first term, four plays of Shakespeare and three of Moliere, in the second term; philosophy: the ""Republic"" of Plato, and the ""Meditations"" of Marcus Aurelius in the first term, and Hobbes and Spinoza in the second term; poetry: the ""Divine Comedy"" of Dante, ""Paradise Lost"" of Milton; the novel: Fielding's ""Tom Jones,"" Cervantes' ""Don Quixote;"" the essay: Montaigne. But the list of authors and of readings does not pretend to be exhaustive, or even completely representative. There is, however, nothing on the list that, in the judgment of the program Committee or the staff of twenty, representing half a dozen different departments, who are to give the course this year, that is not of first-rate calibre in its own kind. Will Meet 4 Hours a Week An examination of the detailed program will reveal several striking facts about the nature of the project: The course will meet four hours a week; plenty of time is allowed in the schedule for careful reading of the actual texts. There will be no use of hand-books, or text-books, or outlines. Class discussion will be centered on the texts themselves, which will serve at once to acquaint the students with a set of masterpieces in literature and philosophy, and thereby to sharpen and discipline their powers of literary criticism and philosophical understanding. The course will not be conducted as a lecture course but as a discussion group founded on the careful reading (insured by frequent examinations) of the texts themselves. Through a happy arrangement with the Bookstore, the set of books to be used in the course, in available cheap editions, will be made accessible to ' s' udents at a very nominal price, ormay be rented for the semester at an even more nominal price. A Cooperative Project One of the functions that this course is designed to serve is to start or to nourish interests that may be developed in succeeding years by special study in one of the languages or literatures involved, or in philosophy. The project is a cooperative one, staffed by the departments of English, French, German, Greek and Latin, Philosophy, and History. Those of us who have been working on the program for the course feel that along with the General Science course and Contemporary Civilization, the Humanities course will provide a balanced and vertebrate curriculum for the first two years of Columbia College, the second year of the Humanities being devoted to a cooperative course given by the departments of Fine Arts and Music, which will aim to do for those fields what Humanities A will undertake to do for literature and philosophy. In the case of the Humanities course it is felt and hoped that this new project will provide something of an equivalent for the values derived by an earlier generations students from the whole classical curriculum, and' develop standards of taste and judgment by a disciplined acquaintance with some, at least, of ""the best that has been known and thought in the world."" It should be pointed out that although Humanities A is required, Humanities B, which is given this autumn as an elective course, will in succeeding years be required only for those who does not elect some specific course in the field of the Humanities. It should also be added that the new Humanities does not add to the burden of requirements in the first year, since English A, until now three hours a week, is no longer required, and Contemporary Civilization has been reduced from five to four hours a week."
3,The Dean Reports,27 September 1937,"Dean Hawkes' report on Columbia College provides food for thought not so much for what it says as for what it has failed to say. The first, and by far the largest part of the report, describes changes which have been made in the Lower College, i.e. institution of Humanities A and B, alteration of the language requirement and incorporation of English C into the Humanities work. These innovations and modifications of the College curriculum have already been applauded and accepted. In discussing the recommendations for the Upper College, however, the Dean points out that there will probably be no revision of the present curriculum. He says:— The new recommendations will have to do with the ways and means of helping each individual student to determine where he had better throw the .plr : in his advanced work and how to do it . . . this wii! mean an extension of our advisory system, especially for the Upper College. x The first move has already been made with the appointment of four instructors to assist Professor Powell in his capacity as adviser to pre-medical students. When a pre-med enters his Junior year, he goes from assistant to main adviser and whatever knowledge the assistant may have gained from his two years of contact is lost in the process. This first step perverts the purpose of the extension of the advisory system—that the adviser be able to help the student choose his later work, and be. able to judge his fitness to pursue professional studies. The assistants thus far appointed, have no immediate academic interests in the field of medicine or science and, therefore, their advice must lack a sound basis. To insure a high quality of advisory work, Dre-professional Freshmen might be divided ncmg instructors, preferably alumni of the College, whose field is directly germaine to the students' work. These advisers should continue with the student through his college career, fulfilling all the functions now carried on by the advisers. The final approval of programs and the procedure of application to professional schools, however, may still rest with the main adviser. Acquaintance with courses and preprofessional problems as well as intimate contact with advisers is guaranteed by such a system. It is, in the final analysis, merely an amplification of the present advisory system, designed to cope with the growing size of pre-pro-fessional groups. While the Committee on Instruction is contemplating change in the College curriculum, it should also devote serious thought to the possibility of introducing some form of the tutorial system which is now operating with great effectiveness at Harvard. In large college classes such as Psychology 1, small groups could be assigned to graduate students in the department for individual consultation. The borderline student would thereby be materially aided and the better student guided toward advanced work. A tutorial system and an extended advisory system, if put into effect, would guarantee individual attention throughout the four years of undergraduate work. In this way the chances of a student's becoming a misfit in Columbia College would be reduced to the vanishing point."
4,Dean Hawkes Explains Humanities Course,29 September 1937,"This continues Dean Herbert E. Hatches' report on the year 1936-37 to President Nicholas Murray Butler. Our difficulty arises from the fact that some of those who are admitted to college are suffering from a delayed adolescence so serious that although they are of college age or perhaps beyond it in some respects, they are far below it in others. This difficulty can only be overcome by a desire on the part of the College to understand each individual and an attitude of cooperation on the part of the student in the enterprise of his education. As a corollary to the admission of the ""whole man"" there follows the necessity for becoming acquainted with him so far as possible, and attempting to provide the kind of education that is best adapted ro his needs. This rules out any set of hard and fast rules, applied to all without regard to individual cases. It does not mean that everyone follows the whims of the moment without let or hindrance; it does mean that so far as possible we replace rules by intelligence, although .'t would be much easier to use ""the rule of the Faculty"" as a substitute for thoughtful attention to each individual situation. The obvious danger in trying to conduct a college by intelligence rather than rules is that there may not be enough intelligence to go around. But even at that, I believe that this principle should be applied so far as possible. Justice Holmes expressed the same point of view when he said that ""To rest upon a formula is a slumber that, prolonged, means death."" Provide for Individual Needs The gradual adoption of achievement tests, the waiving of requirements which seem unprofitable to the individual, the flexible treatment of the work in English composition, the elimination of a rigid major requirement expressed in terms of credit points, the development of the advisory system, all point in the direction of provision for the individual needs of the individual student. One further guiding principle must be mentioned. The first two years of college, which may be called the Lower College, are useful for manystudents in finding their intellectual interest, or in verifying the accuracy of an earlier choice. For this reason wide rather than narrow fields of study are presented in the first two years, in preparation for the more intense specialization of the Upper College. Ever since the course in Contemporary Civilization was organized in 1918 this idea has been gaining ground steadily, until Faculty action last December carried it to its logical conclusion so far as the Lower College is concerned. Further Suggestions Expected The Committee on the Revision of the Curriculum, earlier referred • to, has presented only that portion of its report having to do with the Lower College. The recommendations regarding the Upper College are expected early in the coming Winter Session. The recommendations unanimously adopted by the Faculty in Decembercomprise three important features. The most striking one is the organization of a course in the humanities normally prescribed for freshmen and sophomores, together with the changes necessary for its proper offering. That is, the prescribed freshman course in English is withdrawn, and the course in Contemporary Civilization is reduced from five hours weekly to four. The work in English composition is reorganized and is related to the freshman's whole program for the subject matter of themes. The department of English will continue to read all themes for form and literary values. Explains Lack of Tests The requirement in the languages, either ancient or modern, is expressed in terms of a test of proficiency in reading the language instead of the previous course prescriptiori. The principal reason that this step has not been taken at an earlier time is the difficulty of preparing an examination in reading ability at the desired level which shall be reliable and comparable over a term of years. With the development of more dependable techniques in the art of examination, the time seemed to be ripe for this action. The first year of the humanities course will be offered during the year 1937-38. The second part, Humanities B, dealing chiefly with the fine arts and music, will also be offered as an elective, but not as a prescribed course until a year later. The first part of the course is devoted to literature, and will be presented in small sections by a staff of teachers remarkable not alone for their competency to offer a course as difficult to present as this course is bound to be, but for the enthusiasm and devotion with which they have attacked all of the complexities inherent in the • situation. Course No Cook's Tour The Chairman of the Subcommittee has said: Perhaps the best way of describing the new Humanities A course which will be required of all freshmen beginning next fall, is to point out certain things which it is not, and which it is not intended to be, and which, in so far as things can be arranged in advance, there is no possibility of its becoming. It is not, in the usual and objectionable sense of the term, a ""survey"" course. It is not, and is not intended to be, a Cook's tour through the history of European literature and philosophy. It is not a series of tidbits from the Great Books of the World designed to insure general culture. The positive aim of the course is perhaps adequately described in the first sentence of the announcement in the Columbia College catalogue. ""The aim of this course is to develop in the student literary taste and judgment, as well as habits of philosophical analysis, through a careful acquaintance with a series, in more or less chronoligacl order, of the outstanding masterpieces in the literature and philosophy of the European tradition.""The list of authors to be read includes Homer, the Greek dramatists, Plato, Marcus Aurelius, Hobbers, Spinoza, Dante, Moliere, Shakespeare, Milton, Fielding, Cervantes, Montaigne, and Goethe. The list does not pretend to be exhaustive, but is representative of the greatest. There will be no handbooks, outlines, or texts about these authors or books; instead there will be a careful reading of these masterpieces, followed by class discussion aimed at a sharpening of the powers of literary criticism and philosophical understanding. There are many serious problems incident upon the adoption of this course, which is prescribed in addition to the course in Contemporary Civilization and the necessary work in science and the languages. The first year of college will be filled up with courses demanding a tremendous amount of reading. Whether the burden will be too much for slow readers is a question that must be carefully observed. In any case this program necessitates more careful diagnostic and remedial work for those who have not learned to read rapidly. It will also require constant vigilance to discover those boys for whom this program is ill adapted. It is hoped that there will be few such cases, but we cannot be certain until the course is actually under way. Few Upper College Changes Although it is too early to be certain as the exact recommendations concerning the Upper College, a preliminary report which was discussed at a Faculty smoker in April indicates their tendencies. Unless all signs fail, the substance of the changes in the Upper College will not involve any drastic modification of the requirements for the degree. All of these prescribed courses would normally be completed while the student is still in the Lower College. The new recommendations will have to do with the ways and means of helping each individual student to determine where he had better throw the emphasis in his advanced work and how to do it. It is so be hoped that the abilities, interests, and ambitions of each student will be so clearly analyzed with the help of appropriate members of the staff that with a minimum of rules each student will be able to decide what he should do. This will mean an extension of our advisory system, especially for the Upper College. It will not mean that someone will make the sudent's decisions for him, in accordance with some rule laid down by the adviser, but that with friendly assistance the student will be enabled to make his own decisions with more knowledge of facts and conditions than he otherwise could have done. The ambition of the adviser should be to perform the service of the wise man of long ago of whom it was said, ""His words make men to stand upon their feet."" Just how this extension of the advisory system will be worked out remains to be seen, but the fact that the various departmental officers recognize the importance of this attitude is excellent promise of its success.(To Be Continued)"
5,Delegates of C. C. Classes to Discuss Merits of Course with Instructors Many Past Changes Have Been Result Of Annual Dinners,9 January 1939,"Many Past Changes Have Been Result Of Annual DinnersIn the annual effort to bring forth student opinion and curriculum suggestions, members of C. C. A. classes will meet with their professors around the festive board of the Men's Faculty Club Thursday evening at 6 o'clock. Representatives of each class, to be chosen this week, will break bread with members of the faculty in a meeting similar to those in the past that have brought about changes in the course as well as a closer bond betwen instructor and students. Will Consider Five Topicjs On the aggenda for discussion are five points: first, student opinion of the texts used; second, the value of syllabus summaries and lesson analyses as an aid to study; third, arrangement of the course material; fourth, the relationship of the course to Humanities A. and, fifth, suggestions of the students pertaining to the course. These meetings were inaugurated at the same time that the C. C. course was introduced to the curriculum as a required subject lor ail freshmen. Many of the features included today have come out as suggestions at these dinners. As a result of last year's banquet some of tho emphasis was changed as well as the length of discussions and readings."
6,Book Exchange Remains Open Van Am To Continue Service For Week,9 February 1939,"Van Am To Continue Service For WeekVan Am Book Exchange in John Jay Lobby will be open every day from noon to 4 P. M.for the use of students who wish to sell their texts and for those who wish to buy them. As has been the custom, a charge of five percent will be levied on each sale in order to compensate the exchange for its facilities and services. Ten Junior Class members of the Van Am Society have received their gold honor keys for two years of service on the honorary group. They are: Richard Kussat, president; Daniel J. Edelman, secretary-treasurer; Robert Adams, Hugh Croly, James Corcoran, Leonard E. Evans, Ellis Gardner, Joseph Mladinov, Frank Snepp, and B. Allen Shaw. Popular Demands Listed The following books are in demand at the Book Exchange: De Beer: ""Verterbrate Zoology""; Goethe: ""Egmont""; Bradford and Eaton: ''Machine Design"" (Third Edition); Morley ""Strength of Materials""; Seely. ""Analytic Mechanics""; Kesner: ""Modern German Prose""; Thomas: ''Colloidal Chemistry""; McEwan; ""Vertebrate Embryology""; Bimes: ""Diplomatic History of the United States""; Humanities A 2 Syllabus; Balzac: ""Le Cure de Tours""; Benoit: ""L'Atlantide""; ""Drer Manner in Schull"":"
7,Spectator Sports On The SIDELINES Tennis Topics,29 March 1939,"On The SIDELINESTennis TopicsBy STANLEY L. TEMKOEarly in the fall Campus tennis enthusiasts, crowded around the South Field courts for the University Open tourney, had visions of an all-con-quering Columbia team riding roughshod over its opponents in the then distant Spring. With Chauncey Steele and lanky Leo Hayes playing much improved tennis, there seemed little doubt that the Blue and White net men would line-up as the most formidable Lion aggregation in recent years. Certainly Steele, boasting one of the finest games on Eastern courts, was destined to take his place in the ranks of a great string of Columbia captains, men of the calibre of Leon Hartman and Davey Jones who went onto make their marks in national competition after distinguished Mornmgside careers. Hayes, while not approaching the captain-elect in experience or repertoire of shots, came through with a fine performance in the number three slot last season, and was counted onto step up a notch this Radical Change Spring. But a few months time has seen a radical change in the tennis picture. One great blow to Columbia hopes came when Steele withdrew from school after the Winter session. Then Hayes decided to limit his court efforts to informal play and thus retain his eligibility for a probable switch to Annapolis next September. To top the rapid disintegration of the Lion forces, Lou Persinger, an outstanding net-player and stellar doubles-man, will probably be ineligible because of scholastic difficulties. The only reassuring note in the whole picture was the recent appointment of Don Frame, former Harvai-d captain as faculty adviser to the now depleted squad. The well-built Cantab great, who captured the 1932 Eastern Intercollegiate singles event, knows tennis thoroughly and is proving an invaluable aid. But Frame's appointment as advisor is only a short step in the right direction. Though thoroughly qualified to serve as coach of any college tennis squad, the erstwhile Crimson star is primarily a French instructor. A full schedule of language courses and the added burden of trying to pound a bit of Humanities A 2 into the willing but not always able heads of Frosh leaves Frame little time to aid the Varsity net men. Still Need Coach There is still a crying need of a paid tennis coach at Columbia. The appointment of a faculty advisor, no matter how capable, can only slightly ameliorate the situation. Frame himself is among the first to emphasis the basic inadequacy of the present set-up. Despite his enthusiasm and ability both as a player and coach, the French instructor just can't do justice to the squad. Tennis is a sport in which success is based to a large degree on painstaking instruction—a standout tennis team must have a full time coach, not simply an amateur who has been kind enough to offer his services. Necessity for a mentor has been made all the more apparent by the loss of Steele, Hayes, and Persinger. All three have had private instruction, and while they were by no means infallible in choice of shots and in other fine points in the 1938 campaign, the trio undoubtedly were far more polished than the rest of the squad. At the present time the outlook is utterly discouraging. Although several of the candidates have the physical equipment to make them thoroughly competent performers ,the lack of adequate coaching and the insufficient indoor practice facilities make the rapidly approaching suicide schedule loom as an unsurmountable obstacle.."
8,"No, Mr. Kinne, on Auto-da-Fe Isn't The Grand-Daddy of a Rolls Royce",11 May 1939,"By J. ROBERT CHERNEFF and HERBERT H. PRASHKERWhile 450 perspiring Freshmen racked their brain over the Voltaire Humanities quiz yesterday, little Burdette I. Kinne just laughed and laughed 'cause he knew that an auto-da-fe wasn't the granddaddy of a Rolls-Royce. In fact it is being bruited about that Mr. Kinne, no doubt feeling his oats with the onrushing Spring, was equally certain that Voltaire had an aversion for Homer and the classics because he just didn't like 'em, that's all. Surely, Mr. Kinne, it have been because: (a) He didn't take Humanities A 1-2, or (b) He did take Humanities A 1-2. Or that this is the best of all possible worlds since a certain social dieae limits population by preventing people from going to town. Maybe the erudit Voltaire had a violent distaste for Homer and Co. because; (a) He once went to Columbia College and had to take a quiz on Homer that hardly made English, when he hadn't more than half read it. or (2) He had a choice of eithergoing to a Barnard coffee dance or reading Homer and Barnard won after a very tough struggle. Anyway, the above mentioned Freshmen had quite a laugh over the said quiz, especially after resisting the temptation to aver that Mile. Cunegonde' visible means of support were not very beautiful. However, as the Old Woman might say, after taking the notorious quiz, ""I probably flunked, buttocks doesn't make any difference."""
9,Van Am Nets $lOO Profit In Cap Sale,29 September 1939,"The almost fanatical zeal with which the Class of '43 has been purchasing those little blue and white caps emblematic of Freshman status on Morningside has already netted the yearling treasury slightly over $lOO, it was announced yesterday at a meeting of the Van Am Society which has been conducting the sale. The Dean's Library, also run by the Society, opened yesterday and will continue to be open every day from 1 to 3 P. M. Any student may apply at that time for the loan of one or more books for the current academic year. Book Shortage Announced Van Am members in charge of the Book Exchange in John Jay Lobby announced that there is a shortage of many books. Any upperclassmen who may have old copies of the following texts are requested to bring them to the Exchange at once. ""General Chemistry"", Schlessinger; ""Fundamentals of Health"", Kirkpatrick; ""The Making of the Modern Mind,"" Randall. ""Economic History of Europe"", Heaton; ""History of the United States"", Carman & McKee; ""Listening to Music"", Moore; ""Beginning German"", Schinnerer; ""Segundo de Espanol"", Imbert & Pinol. Also ""Textbook of Histology"", Maximow Bloom; ""Textbook of Histology"", Bailey; ""General Chemistry"", Conant; ""Elements of Retail Selling,"" all Economic Geography books, Humanities A sets."
