,search,title,date,body
0,Global Core,Staff Editorial Core of the Matter Updated Major Cultures fails to improve requirements,3 September 2008,"Core of the MatterUpdated Major Cultures fails to improve requirementsStudents returning to campus may have been surprised by the news that the Major Cultures portion of the Core Curriculum has been replaced by the new ""Global Core."" Featuring courses such as Asian Humanities, African Civilization, and Latin American Humanities, this requirement was developed to stress the comparative nature of cultural study. Yet this change is neither consequential enough to actually broaden students' cultural understanding nor a step in the right direction. The Committee on the Core Curriculum should rethink and revise this initiative. In an e-mail sent on Aug. 29, the Committee on the Core announced that a single list of Global Core courses would replace the three-tiered Major Cultures system. By eliminating the three lists, the committee has created a pool of classes that can be taken in any sequence. As it stands, the Global Core for the class of 2012 includes all existing List A courses, which are broadly introductory courses in a single civilization, as well as many from List B, which covers more specialized courses in these same civilizations, and List C, which addresses the manifestations of these civilizations in the United States. But the emphasis on List A classes does away with a system that moved students from broad to specific study within a culture. And while List B and C classescan be small seminars, List A courses are typically larger and considered by many students to be less instructive. Ironically, such survey courses seem to be the linchpin of the newly devised Global Core. At best, the change is purely superficial. The e-mail is quick to mention that the Committee on the Core changed the name of the program, but gives the impression it did litde else. Though the committee seems to have spent time on the language of the statement, the Global Core list includes no classes developed specifically for the requirement. At worst, the committee has done away with any guidance to direct cultural inquiry. In the past, List A courses served to provide a foundation more specialized study in Lists B and C. But the new requirement will destroy the incentive for students to study cultures in depth. According to the announcement, the Global Core was created ""after rwo years of discussing some of the concerns voiced by faculty, students and administrators."" Apparently, two years of dialogue have succeeded only in getdng rid of any guidelines with which to focus cultural study. The e-mail indicates that the changes to the course list will occur over ""the next several years."" For the sake of students who deserve more than a cursory overview of non-Western culture, these revisions should come as soon as possible."
1,Global Core,STUDENT,4 September 2008,"Step one to excelling at Columbia: plan ahead. Use your adviser, SSOL (Student Services Online, one-of the most useful acronyms on campus), and the online class directory to help you map out your course O.f study. Familiarize yourself with the requirements and idiosyncrasies of the Core Curriculum (check out the Bulletin for more information—yes, frustratingly enough, this is an entirely separate Web site from the Directory of Classes). It's especially important to figure out which courses you can take to kill two birds with one stone-pre-med requirements, for example, also fulfill your science Core requirement, and Global Core courses count as history classes. Once you've harnessed the Core, it's easy enough to be the most bookish student—that just requires a dedication to camping out in the University's libraries. No student camper would be prepared without a computer lock. Attach this device to your chair or your desk in Butler to ensure that no quick-handed visitor steals your laptop or your place. It also can't hurt to have some bookends to corral the manifold texts you'll want to collect from Columbia's awe-inspiring library system (we've got over 8 million books on the undergraduate campus alone). Just watch out for Avery—they don't let you check books out there, so you'll have to photocopy any information you may need for later. When studying in a library, don't go overboard like students at other Ivy League"
2,Global Core,NEWS,9 September 2008,NON-WEST VS. ...NON-WEST Major Cultures versus the Global Core? Parse the subtleties with a run-through of what's changed in the Core and why. ■ PAGE 2
3,Global Core,Global Core: A First Step Toward Change?,9 September 2008,"BY SCOTT LEVI Spectator Staff WriterIt's understandable if you had to read the official announcement ushering in the new ""Global Core"" a few times before you could figure out what it meant. The newest tweak to the Columbia College Core Curriculum does not seem to depart much from the existing Major Cultures, though its proponents say that it is just the first step of a holistic makeover for the controversial Core requirement. The Global Core was unveiled in mid-August after years of discussion about what to do with Major Cultures, a relatively recent addition to the Core. Major Cultures was intended to offset the largely European curriculum offered in Literature Humanities and Contemporary Civilization, but has been criticized for being superficial. The critiques of Major Cultures came to a head during last fall's hunger strike, when protestors demanded that the University reform the requirement. As part of a settlement ending the hunger strike, Columbia comrn itted to converting Major Cultures classes to seminars. What the Global Core amounts to thus far is a consolidation of Major Cultures courses into one list. The Global Core will apply only to the class of 2012 and its successors, though continuing students can elect to pursue it in lieu of Major Cultures. Administrators of the Core say that it lays the groundwork for further reforms and has been a long time coming. ""The changes to the [Major Cultures] requirement —and really, the beginning of more formal discussions about the requirement — are the result of two years' work discussing the requirement with faculty and students,"" said Patricia Grieve, chair of the Committee on the Core and a professor of Spanish and comparative literature.Professors didn't keep quiet about their opinions of Major Cultures, either. ""From the very beginning, concerns expressed by faculty had to do with die structure and teaching of the courses,"" said Kathryn Yatrakis, dean of academic affairs at Columbia College. ""When the Global Core was approved ... it was clear they were so eager to start having a place in the curriculum."" ""The classes had no connection to one another and ranged from simple historical overviews to language classes,"" agreed Jes-sica-Becker, CC 10 and a student representative on the Committee on the Core. In an effort to resolve this disunity, the Global Core will shift to a single compilation of courses grouped by the department they come from rather than the breadth of material they cover. The language used in naming the Global Core reflects what many view as the increasing importance of global forces in shaping perceptions of culture. ""Comparative and interconnectedness are words we use a lot when talking about the Global Core,"" Grieve said, referring to the theme of integration the committee intends to make the epitome of the program. To communicate those messages in a uniform way, the average class may ultimately become a seminar. ""A seminar fosters conversation, allowing students to develop a more thematic understanding of the chosen cultures,"" Becker said. But that kind of structure still seems a long way away for the new requirement. ""That will take just a litde bit of time,"" said Yatrakis, who was unable to estimate exactly when the courses would become seminars. ""It has to do with expanding resources—space and faculty. If you're designing a course that is four 20-person seminars, more classrooms will be needed than for an 80-person lecture."" scott. levi @columbiaspectator. com"
4,Global Core,A Move in the Right Direction,10 September 2008,"BY AMIN GHADIMISo Earth's Major Cultures are now its Global Core. And this means what, exactly? I'm not sure. For me, one of the 1000-plus first years who face the new world of the Global Core and tray-free John Jay dinners, the Major Cultures component of the Core is just a piece of history, and the hunger strike that precipitated its demise is just a story on Bwog. 1 never dealt with three separate lists of acceptable Major Cultures courses. I didn't experience the hunger strike first-hand. And, quite frankly, I'm not sure I can explain what the difference is between Major Cultures and Global Core now that I must only concern myself with the latter. I'm just the callow, quixotic Lit Hum-er Columbia's seen too many times, one who is just getting to know what fueled the activism against Columbia's Major Cultures, one to whom Professor Patricia Grieves Aug. 29 letter about the Global Core seemed excitingly unfamiliar, and one who is still all too eager to explain why he believes he supports this latest amendment to the Core. From the untainted, untestefl perspective of this irreverent Terrible 12er, the entire Global Core debacle seems at once unnervingly strange and comfortably familiar, distinctly Columbian and insipidly commonplace. On a superficial level, terminology like ""List B courses"" and ""Global Core requirement"" feels foreign to me. What exactly are Lists B and C, and why don't they apply to me anymore? But at a more fundamental level, one beyond the punctilios, 1 think the basis for the argument over the Global Core is actually identical to that of an argument everyone on the pedagogical globe is having right now—or, at least, should be having. The accusation of the Spectators Editorial Board in ""Core of the Matter"" (Sept. 3) —namely that the Global Core is only ""superficial[ly]"" different from its predecessor's disgraceful ""cursory overview of non-Western culture""—is essentially the same accusation leveled against Advanced Placement and the International Baccalaureate from opposite sides of the Atlantic. One says the former is too ""American"" and the other accuses the latter of being too ""European,"" yet in the end neither organization offers a truly all-inclusive education despite their grandiosecurricula. It's also the same grudge China holds against Japan: that Japan's textbook writers are too nationalistic to acknowledge the atrocities their forefathers committed in WWII. And it's even the same type of imprecation hurled at both Barack Obama and Sarah Palin (whether justified or not) saying their views are too parochial or that the candidates themselves are too inexperienced. Suddenly hurled into a new school and a new city, I find myself comforted, even excited, to discover that even the most campus-centric arguments are the same as those playing out on the world's stage. But my reaction is actually more than just excitement —it's also-one of pride. The Global Core hoopla confirms to me that Columbia's desire for true education—an education in which we learn and value what we believe matters rather than what society expects us to —is real. Columbia philosophically understands what it means to truly educate, even if we can't agree on how the university approaches the pressing need for each person to have a global education. So to me, to someone who just got here, to someone who hasn't yet faced the disgruntle-merit and disappointment that inevitably come with four years at any school, this is what makes Columbia a singular educational institution. The Core—whether part of it goes by the neologism ""Global Core"" or by the more familiar ""Major Cultures"" —forces us to deal with worldly issues on a daily basis and compels us, with our distinctly Columbian rebelliousness, to challenge the very ideas that are supposedly taken axiomatically in our curriculum. Whether the move to ""Global Core"" is, as the Editorial Board says, ""no[t] a step in the right direction,"" is an essential question, one that absolutely must be addressed by faculty and students alike. However, it's not a question with which I am willing to grapple quite yet. All I know for now is that the mere existence of a requirement like this one, whatever name it assumes, is a move in the right direction—a direction that, unfortunately, not many people outside of Columbia can claim to have. And to have taken a first step in that direction is something for which I am truly thankful. The author is a Columbia College first-year."
5,Global Core,"Staff Editorial If You Can't Beat 'Em, Join 'Em",10 November 2008,"If You Can't Beat 'Em, Join 'EmIn the aftermath of last fall's hunger strike, the administration has paid greater attention to the ways that students can impact the Core and curricula across Columbia College. While there are several student positions on the Committees on the Core and on Instruction, the number of student applications for these positions is low. The Columbia College Student Council has taken strides to promote these committees to potential student applicants, but should'alsb iA'brk --to explain and enharrte the'tbles students in these groups serve in academic life. COI and COC are responsible for addressing Core issues, adding new courses, and changing degree requirements. By including student representatives in these groups, the administration gives the student body a chance to voice their opinions about CC's academic programs. Recently, however, these committees have drawn few student applicants and have faltered in providing students with a strong voice in the school's decision-making body. Only five students applied to the two committees last spring, prompting officials to establish an additional deadline this fall. Just nine more students applied. While students on COI and COC say their opinions are respected by administrators, they add that the slow process of curricular modification discourages students interested in change from applying for a position. CCSC is well-placed to better advertise student positions on these committees and maintain astronger voice in CC's academic life. Beyond sending e-mails, the council should hold information sessions to explain and emphasize the significance of these positions. Such presentations would reassure students afraid of being marginalized while serving alongside faculty members and explain in detail the purpose each committee serves in academic life. Indeed, the Committee on the Core's lone student representative was essential in making changes to Frontiers of Science and in the creation of the Global Core requirement, after corresp'onding with students and student groups. As a representative for College students, CCSC should serve as a channel of communication between the student body and student representatives on COI and COC. Though past student representatives have kept tabs on student opinion, COC and COI would better represent and respond to student's opinions with input from CCSC. Members of the student body for their part —especially those passionate about and critical of the Columbia curricula—should grab hold of these committees' potential and seriously consider applying. Student representatives on COI and COC are indispensible in keeping CC's curricula up to date, and their roles should not be taken lightly. Only with constant interaction between students and the Committees on the Core and on Instruction can we repair the type of disconnect that led to the hunger strike."
6,Global Core,The Value of Diversity for International Students,10 November 2008,"BY AMIN GHADIMIFor an international student like me, there is no place like Columbia. Harvard sits atop the U.S. News and World Report rankings, Georgetown has an impressive international relations program, and Oxbridge costs significantly less than 50,000 dollars a year, but none of that really matters. With its pedagogical philosophy and its approach to the concept of education, Columbia offers a truly singular international education. We all know that Columbia values diversity. We experience it for the first time during NSOP week. We see it on College Walk. We hear it in our Core class discussions. We deal with it so much that it may even become banal to us. But it is perhaps only the international student who, because of his or her ostensible foreignness, appreciates how important this diversity is. Internationals are often told about the difficulties of adjusting to a new school and a new country at the same time. Before sending its students abroad, my high school in Japan organized a ""senior transition meeting"" in which it warned seniors of the potential culture shock we would experience in a new country. During NSOP week, I joined my fellow international students in a meeting that exposed us to the different climate of ""the American classroom."" Though certainly helpful, both meetings were superfluous. Columbia's commitment to diversity offers everyone, including me, a comfort zone and a place to feel at home—but not a crevice in which to hide from exposure to different and even conflicting and provocative viewpoints. For me, Columbia's dedication to diversity speaks to my religious identity as a member of the Bahai Faith. On April 12, 1912, Columbia University opened Earl Hall to the Son of the Founder of my religion. He delivered a speech in which he addresseda common element of Columbian philosophy and my faith: he said, ""It is our duty to put forth our greatest efforts and summon our energies from all directions in order that the bonds of unity and accord may be established among mankind."" Columbia demonstrated a commitment to diversity almost a century ago in giving one of the central figures of the Bahai Faith a platform to speak from, and this commitment still resonates; in last year's World Leaders Forum, President Bollinger raised the question of the persecution of Baha'is in Iran in his address to President Mahmoud Ahmadinejad. It is at Columbia that I find my religious beliefs acknowledged and respected. With such a commitment to diversity here, assimilation is not difficult—in fact, there really is no need to assimilate. At the same time, and perhaps more importantly, Columbia's diversity provokes just as it welcomes. Last week, President Bollinger welcomed Sir Salman Rushdie to the inauguration of the Institute of Religion, Culture, and Public Life at Columbia. Last year, to the World Leaders Forum on the same campus, he welcomed President Ahmadinejad, who represents a regime that seeks to put Sir Rushdie to death. Does diversity then become a self-contradiction —can we, for the sake of diversity, paradoxically tolerate those who cannot tolerate diversity? What does this mean for an international student who may bring with him or her ideas and beliefs that conflict with those prevalent at Columbia? How do we reconcile the contradictions diversity engenders? I feel that Columbia seeks to answer these questions —or rather, to force us to answer these questions —in part through the Core Curriculum. Frontiers of Science seeks to train us to think rationally and scientifically, while Art Humanities makes us look at the world from a diametrical perspective. Literature Humanities is steeped in Western culture, while the Global Core seeks to compensate for that. It is asif Columbia's emphasis on diversity of thought and analysis of different points of view is tailored for international students. Columbia teaches us how to synthesize the different cultures and ideas we were exposed to in our upbringing, thereby reconciling them. In this way, I believe that internationals almost viscerally feel the importance of having this exposure to diversity—it speaks to a central part of our identity to think about education as a means of appreciating and solving the question of diversity. It is true that Columbia is, in all its racial, ethnic, religious, and cultural heterogeneity, a microcosm of New York City and of the United States. The diversity we encounter in the city complements and enhances that we experience on campus, while the election of Senator Obama to the Presidency makes any talk of the importance of diversity to the identity of America entirely redundant. But to dismiss Columbia's diversity simply as a reflection of its surrounding culture is to fail to give the University adequate credit. The creation, maintenance, and fostering of the diversity on which we pride ourselves is difficult and controversial, but for the international student especially, that commitment to diversity is invaluable. That Columbia respects diversity but is never afraid to question and challenge it makes it a global leader in international education and the obvious choice for internationals thinking about which college to attend. Any international student can probably attest to being stalked and spammed in high school by admissions officers preaching about how they seek to diversify their campuses—something Columbia has already done and continues to do. This commitment to an international student body is important, for it is from the style of education at Columbia that global solutions to the most pressing global questions emerge. The author is a Columbia College first-year."
7,Global Core,Ch-ch-changes,13 November 2008,"This week, The Eye's lead story examines the issues of race and ethnicity at Columbia through five students' personal experiences. For reference, here's a collapsed timeline of racially"" charged incidents at the University over the past 40 years, compiled by Oriana Magnera. 1968: Students protest the construction of a new gymnasium over Morningside Park that would have separate entrances for Morningside Heights residents and Columbia students. White protestors are asked by black protestors to take over their own building. 1992: Students protest the Eurocentric nature of the Core and call for a newer, more global set of requirements. The Core is changed to incorporate new requirements that were, until recently, known as the Major Cultures component. 1996: Students go on a hunger strike for the creation and funding of an ethnic studies department. 1999: The Center for the Study of Ethnicity and Race is established. 2005: An ad-hoc committee is established to review the department of Middle East and Asian languages and cultures after students complain of intimidation and anti-Israeli bias in classroom discussions. Spring, 2006: Two students vandalize a Ruggles suite, drawing swastikas on the walls and writing racist and anti-Semitic slurs; homophobic graffiti is found on an RA's door. In response to both incidents, a group of students organize as Stop Hate on Columbia's Campus and hold silent protests on the Low steps. Fall, 2006: Jim Gilchrist is invited to campus by the Columbia University College Republicans. To protest his appearance, a group of students rush the stage. Fall, 2007: Iranian President Mahmoud Ahmadinejad is invited to speak on campus. His appearance sparks concerns about both anti-Semitic-and anti-Muslim sentiment on campus, already stirred by the tenure reviews of professors Nadia Abu f l-Haj and Joseph Massad. Racial slurs are found graffitied in a SIPA bathroom. A noose is found on the door of Teachers College professor Madonna Constantine, and the incident is deemed a hate crime. Anti-Semitic graffiti is found in a Lewisohn bathroom. In protest of the recent bias incidents, Manhattanville expansion, decades-long tensions surrounding recognition of CSER, and the Major Cultures requirement, six students hunger-strike-the University agrees to some of the demands,-most notably a reorganization of the Core. December, 2007: The New York City Council approves the 'University's plan for a $7 billion expansion into the Manhattanville neighborhood-students and residents protest what they perceive as inevitable ""gentrification"" and the displacement of neighborhood residents. Fall, 2008: The Office of the Core unveils new Major Cultures requirements, now renamed the Global Core Requirement, which include a focus on issues of transnationalism, race, and ethnicity. CSER unveils a new, more structured curriculum, a Native American Studies major, and begins a student-led hiring process. Barack Obama, CC 'B3, is elected the first AfricanAmerican president and is the first Columbia graduate to reach the Oval Office."
8,Global Core,The Classical Language Requirement,22 January 2009,"BY JAKE MILLERWhat was once traditional has now become a radical proposition: that Columbia College students be required to take Latin or ancient Greek, rather than a modern language. Yet there are good reasons for such a requirement: Studying a classical language improves verbal skills and introduces students to other cultures more effectively than studying a modern language. Because of the formalized study of grammar they entail, classical language courses improve verbal and analytical skills in a way that modern language courses do not. Classics majors have higher combined Graduate Record Examination scores than virtually any other students, including modern language majors. Of course, because of the third variable here—the self-selection bias—that statistic is irrelevant. However, it is surely relevant that the combined GRE scores of classics majors showed a drop at about the same time that classics programs began de-emphasizing the languages and teaching more civilization courses. This indicates a relationship between the verbal and analytical skills tested by the GRE and experience in the classical languages. These skills are most likely affected by the close analytical work required by the intensive study of grammar. As a student of French, Latin, and Greek, I can testify to die fact that the level of analytical and grammatical work I do in French is not comparable to the work I do in Latin or Greek Nor could it be—most modern languages have much simpler grammars than Latin or Greek,and in any case, the emphasis in modern language courses is on communication, not on the formal study of grammar. Once the grammars have been mastered, the focus of classical language courses is purely literary. As a result, studying a classical language teaches students more about other cultures. For example, a two-year course in Greek might consist of two semesters of Greek grammar, and then a semester each of reading Plato and Homer. While the student of German is learning how to older a sandwich, his counterpart in Greek is reading the Republic. This more literary approach certainly pays off when it comes to appreciating the cultures of Greece and Rome. Finally, learning a classical language would enrich discussion in both Literature Humanities and Contemporary Civilization. Imagine if students could refer to the literary features of the original Greek text of Medea. No language is as represented in Literature Humanities as Greek is, or in CC as Latin is, and even those texts that weren't originally in Greek or Latin often refer extensively to the classical texts to which students would be exposed in their language courses. I realize that the Core is already criticized for its Western focus, and the foreign language requirement could be seen as an opportunity to pursue the study of another culture. However, judging by enrollment numbers, most students are pursuing European languages anyway. Further, it is highly questionable whether one learns much culture in an elementary Arabic course, when the primary focus of the course is linguistic. Finally, there already is a part of the Core devoted to non-Western cultures: the Global Core. If the Global Core is insufficient for that purpose, then that is a problem widi the Global Core. There is no reason to force the language requirement to serve the same purpose. Such a complaint would merely be specious: although it is true that Greek and Roman cultures contributed mightily to the foundauons of Western cultures, their attitudes toward gender, politics, andreligion were strikingly different from those ofWestern cultures of today. They were not even confined physically to the West: Roman lands included parts of North Africa. Indeed, it would be hard to find a modern society more ""foreign"" than either Greece or Rome. America arguably has more in common with modem Japan than with Sparta. ""The study of the classical languages actually exposes students to cultures that are in many ways more different from our own than another modern culture. Some might say that with increased globalization, it is essential that students be able to speak the language of another country. Knowledge of a classical language actually facilitates learning a modern language, more so than a modern language does for another modern language. Because the Latin and Greek grammars are so complex, in order to learn a modern language, it is usually just a question of what to subtract from the Latin or Greek grammar already mastered. Moreover, the level of a modern language attained after two years at Columbia is generally not high enough to permit students to immediately live or work abroad without further instruction in that language. Students who are interested in doing so have to take extra language courses anyway. In addition, utility cannot be the standard by which Core requirements are judged. Almost any discipline could benefit the modern student in some way, but it is unrealistic to include every useful skill in the Core—and as already shown, classical languages are themselves useful to know. I am not suggesting that we add a requirement, but rather modify an existing one to improve it. The study of classical languages has been in decline for a while now. Indeed, very few high schools teach them. College will likely be the only opportunity students ever have to engage with classical languages, whereas modem languages are widely taught even at the middle school level. We should be continuing this educational tradition, not allowing it to die without comment. The author is a Columbia College sophomore."
9,Global Core,Shirking professorial responsibility,1 April 2009,"BY DOV FRIEDMANWhen The Current hosted professors Mark Lilla, professor of humanities, and Mark Carnes, Ann Whitney Olin professor of history at Barnard, for a panel discussion, the ostensible topic was the Core Curriculum. Campus-wide debate and criticism of the Core are as much a hallmark of a Columbia education as the courses themselves. Yet the discussion between Lilla and Carnes yielded insight into something arguably more interesting than the Core itself: the responsibilities of professors as educators. Carnes explains his development of a new approach to teaching as something like an epiphany. While teaching Contemporary Civilization, he realized that its methodology was misguided. Carnes used Plato's The Republic to explain the flaw in the Socratic method. As the dialogue progresses, Socrates speaks more, while the students speak less. Pedagogically, there is something wrong with the passivity of students. Carnesspent years developing his Reacting to the Past curriculum, which uses elaborate game formats in which students take on roles as historical characters to radically alter the student classroom experience. Lilla's philosophy of teaching, however, seems opposed to Carnes's. Lilla argues that American teenagers come to college less educated than our international peers. It is his responsibility to steep Literature Humanities students in the intellectual tradition. He challenges his class and raises the bar of his expectations. In his model, the professor instructs from a position of knowledge, hoping to instill questioning and understanding in students. Lilla and Carnes have differentpedagogical approaches, yet as educators these men are strikingly similar. The idea that emerged most clearly from their discussion was a mutual passion for teaching and a willingness to go to great lengths to effect intellectual growth in their students. Carnes is leading a movement to incorporate Reacting-style teaching at other colleges. Lilla reads and comments on two-dozen multi-page reading responses for every class. In different ways, these professors provoke a reconsideration of professors' roles at the University. Carnes and Lilla both stressed the energy they have expended in creating a rigorous classroom experience. Both indicated that their efforts were worth the extra work, because the student response speaks for itself. The contrast between Lilla and Carnes on the one hand, and many experienced professors on the other, ispainfully clear. Lilla and Carnes reiterated a common criticism of the University: many academics are chiefly concerned with their research and care little for their teaching responsibilities. Undoubtedly, every Columbia student has felt this way about a professor in the past or will feel this way before he or she dons cap and gown. I have my own experiences. This past semester, I enrolled in a Global Core course with a prominent professor whose reputation as a lecturer was only outdone by his prowess as a writer. His writing captivated me, and when world news intersected with his area of study, I contacted him. I explained that I was looking to better understand the news that the media covered poorly. A simple book recommendation would have sufficed, yet this professor did not even acknowledge the e-mail. Is this how I, as a senior, am to remember Columbia? Is this a reflection of how Columbia wants to be perceived as an institution? When the pursuit of extracurricular education is stymied by professorial neglect, it is true irony: the person who has devoted him or herself to a life pursuing knowledge cares not to help students pursue the same. Columbia promotes the Core to prospective students as an opening of the mind—a chance for the entire college to have a shared intellectual experience that is the subject of passionate discussion on the steps of Low Library. We the students should know: the school was pitched to all of us once upon a time. The luster of this idealistic image—this marketing tool—is tarnished for everyone at some point. One way to conclude would be to propose policy changes in hopes that future students would have a different experience. Fine-tune the tenure process to incorporate professors' abilities to critically engage students. Provide incentives for experienced professors to teach Core courses, especially Lit Hum and CC. Finally, change the culture of this university. Promote a culture in which professors are eager to engage students outside of class and to cultivate their intellectual growth. Columbia is a fragmented, isolated place. Students are not alone in that feeling. When Lilla arrived at the panel, it became clear that in his three years here, he and Carnes had never met, despite both professors' prominence. Policy proposals from an outgoing senior are as valuable as the legislative priorities of a lame-duck president. Thus, the proper conclusion is an appeal to conscience. If the University stands for anything, it is the promotion of intellectual discourse and scholarly knowledge. Columbia has a responsibility to nurture its students' academic growth. Some of the best minds in the world are gathered together here in a startlingly small geographic space. It is time we start treating our intimate space like an intimate community as well. The author is a Columbia College senior majoring in history. He is a former senior editor o/The Current."
