,title,date,body
0,College Sets Limit on Incompletes,2 December 1975,"By LOUIS ANTONELLICollege students with two or more incompletes will be ineligible for further incompletes, Dean of Students Henry Coleman announced last week. Coleman also decided, in an action approved by the College Committee on Academic Standing, that students will not be allowed to register in the fall if they have incompletes in College required courses, including Contemporary Civilization, English Composition, and Art, Music and Literature Humanities. Previously, students had been allowed to register in the fall with up to two incompletes, but were not limited in the number of incompletes they could take on fall or spring semester courses. Now students with two or more incompletes will be put on General Academic Warning, under which theyare not permitted any new incompletes. Explaining the decision yesterday, Coleman said, ""I have come across enough cases of where, say, a student takes two incompletes in the spring semester, then gets three in the fall, and three more in the spring. By the end of the year, that student might have eight incompletes, which is not a healthy situation. ""By that time, the student has to stay a whole bloody year to clear up the incompletes,"" he added. ""What I am saying to the students is that if you have more than two incompletes this semester, I will place you on Academic General Warning."" Coleman said the action was intended to cut the number of incompletes being taken by students, which has increased significantly in recent years. Incompletes, granted atthe instructor's discretion, are grades which indicate that work for a course will be completed by a student within a specified time, up to one year. If the work is not , completed within a year, the grade is changed to F*, a failing grade which shows that a student did not complete work on a course. Coleman said he understands that some incompletes are made necessary by illness, but added that this is usually not the case. He added that students often try to. make up their incompletes during another academic term, thus ignoring their current courses and producing a ""snowball effect."" Coleman said he felt it was wise to force students to make up incompletes in the required courses because often the make-up work involved a lengthy termpaper that could not be done during another term of active schoolwork. He added that many of the required courses are taught by preceptors, who are often difficult to keep in touch with after the term ends. Coleman, who noted that the changes had also been discussed with College Dean Peter Pouncey and Associate Dean Michael Rosenthal, said he hoped the action would keep the students ""working at the academic level"" expected by his office."
1,FORUM Is the College perpetrating intellectual fraud?,27 October 1977,"Is the College perpetrating intellectual fraud?By JIM SCHACHTERColumbia College's image of itself as a center for liberal education is intellectually fraudulent. The fellow who writes in the front of the College bulletin that ""a career in Columbia College centers on the work in general education and in the academic department of one's major"" is either a liar or a fool. The College is not a locus of humane learning because the undergraduates enrolled in it are not members of an intellectual community. A career here centers not on general or major area studies, not on anything else that is a subarea or function of the instructional facets of the university. Instead, a large portion of the College's enrollees choose to allow extra-university, extra-intellectual activities to dominate their time and interest during their stay here. And rightly so. It is fitting that students do not take an interest in their college, because their college takes no interest in them. The circle works like this: Columbia College lets its students go their own way; then the students allow the College to go its separate way; and then the College, figuring that its students don't care about it, decides that it is hopeless to try to involve students in authentic, intense learning, let alone making decisions that effect the day-to-day and long range operation of the university. What are the results of this diffusion of student interests? For the students, the result is sophistication. We forget that ""sophistication"" has a perjorative connotation. The sophisticate is one who, mainly familiar with the superficial aspects of life, exists in the realm of superficiality. Many of Columbia's undergraduates choose to attend this school because it is in New York, America's cultural center. These students get through their classes, often gaining good marks, but their major interest is in some aspect of the city's cultural life. The culture lovers can be divided into two groups. First are those interested in mastering a particular artistic skill—musicians, dancers, sculptors, actors—or in authentically understanding an art. Such individuals subsume their lives to their interest and associate with others equally engaged in gaining aesthetic ability or comprehension. That is, these primary lovers of culture participate in an intellectual community centered on their interest, no doubt finding members of that community both within the university and without. The second group of culture lovers is composed of those who merely admire the arts, that is, the sophisticates. When a new ballet company comes to town, they're off to watch it. A new Italian movie? Seeing it soon after its release is a must. The sophisticate is obligated to be current in his area of sophistication. He must know what operas are on the Met's calendar for the next year, and it doesn't hurt to be familiar with the backstage bickering that resulted in that calendar. These are thethings the sophisticate thinks about and discusses. He is truly fascinated by such details and believes he is an expert of sorts. ""Yet how different is it to be an expert in the comings and goings of dramas than in the comings and goings of Jackie Onassis? And where is the greater show of profundity in knowing what movies ought to be ""important"" next fall rather than knowing what shoes will be in style at Christmas-time. We condemn the person who worries about celebrities as a gossip, and call the fashion-plate vain. Both are guilty of superficiality. And so, clearly enough, is that second kind of culture lover found around Columbia, the sophisticate. And just as he who is concerned about celebrities when he is eighteen is concerned about celebrities when he is thirty-six, so the sophisticated college student will be the sophisticated young and middle-aged adult. I assert that, in great measure, the people Columbia College is turning out arewhat the sophisticated media refer to as ""the Beautiful People."" Their jobs are ""right""; their clothes are ""right""; their friends are ""right""; their interests are ""right."" And they are hulks hopelessly awash in a sea of superficiality. Columbia is entwined in a web of sophistication. The political sophisticates, for example, place posters around campus to announce meetings in support of every nationalist movement imaginable. The members of Ethiopian and Chilean and Zionist solidarity groups all primarily exhibit a superficial and selfish understanding of the world. Consumed with the defense of one nationality's interests, usually their own, they are as egocentric as the Beautiful People, except that they are concerned with the self-importance of one national among all the nations rather than that of one person among humanity. How is Columbia College to blame for the fact that is producing superficial, selfish sophisticates?It is at fault because it does not demand its students' attention. It does not care whether the young men with whose liberal education it is entrusted ever gain the curiosity, knowledge, and judgment an education should imspire and provide. One might argue that Columbia students attend those unique Contemporary Civilization and Humanities classes which are designed to broaden minds and force and force young people to form defensible opinions. As far as this picture is reality, C.C. and Hum are the best things the College has to offer. However, as anyone who has sat in a required general education class knows, C. C. and Hum. are not necessarily dynamic intellectual experiences. Reading is not done. A few people, not always the best informed, dominate discussion. The essentials of each text may not be touched on. Too many of the students, then, do not care about the classes. Why don't they care? They don't carebecause the College has told them it doesn't care whether the students learn anything in the socalled ""core"" courses. Inane discussion is tolerated. Nonreading is not questioned. Mediocre papers receive above average marks. And, let's face it: just about everyone gets a good grade at the end of the term.* The general education classroom is not an intellectual community; rather it is the bedchamber of mediocrity. And the administrators and faculty of Columbia College are to blame for the mediocrity. They set the standards. How may Columbia's claim to being a bastion of liberal education be made valid? First, more must be expected of the student in the classroom. If a student is to get a good grade, he must learn. If he is to master the subject area of a general education course, he must read the books upon which the class discussions and written work are based. Teachers must be set free to force compliance with these learning rules; they must be allowed and even told to give spot quizzes that check for reading and comprehension, to weight marks heavily on the basis of intelligent participation in daily discussion, to be sure a paper is of high quality before it is given a good mark. (I do not suggest that good grades should be the final cause of learning. However, in the transistional period preceding the establishment of an intellectual community in the College, the use of grades to evaluate quality of learning might motivate students to dedicate themselves to their work.) If this commitment to deeper understanding of the great ideas of all times makes it impossible to read all the books presently covered, let the reading lists be cut. We cannot understand everything; we ought to understand something. Second, the university must develop a program which allows students to meet and converse intelligently with each other and with representatives of the faculty and administration on a regular, informal, but required basis. A setting wherein six or seven students are invited to a professor's apartment for a homecooked meal (paid for by the university) could well be an opportunity for the students and instructor to enlighten each other. The important issues of the moment could be discussed more fully than a class setting allows. The university recognizes the value of such discussions. Among the better kept secrets of the College is its John Jay National Scholars program, which honors the top one per cent of the freshman class. Its main selling point is a monthly dinner attended by the ten or twelve scholars, and an administrator or two, a faculty member, and a celebrated person from the New York area. Whyshould such an opportunity for mind-broadening be limited to an elite of the College? Am I advocating a return to paternalism? Not really. Intensified core courses and dinnerdiscussions with professors in attendance would not have the effect of making students accept a body of opinions handed down the the Benevolent Fathers of the College. Rather, such profound learning activities would more likely be cells of enlightenment. The better informed and wiser a man becomes today, the better able he is to see the faults in the make-up of the world, and the more likely he is to take action to improve humanity. This campus, like many others, exploded in violent rejection of the ways of the world in tin the late 1960s because groups of serious students met to study and discuss issues of worldwide significance in an historical context. And if those students had cooperated with their teachers, if the two groups hadbeen co-learners, the 60s movement might have had a firmer intellectual and practical basis. In France, where the agitators of the 60' s were a coalition of students and teachers and workers, the Left now has the chance to take control of the government. Neither am I proposing the nurture of ascetic eggheads. Again, the person of learning is bound to appreciate the complexities of the work, haveheightened passions, and care deeply about many facets of culture. He'll be interested in theatre, music, sport, dance, humor, realizing that to understand the harmious and conflicting relationships of these is to understand a large part of humanity. The intellectual will enjoy, intellectually. With the adoption of these"
2,Humanities Fellows offered a post-doctoral breather,30 November 1977,"By MAGGIE ELLIOTTIt used to be that if you'd finished your doctorate, you had two choices: apply for a research grant and hole yourself up in the library, or join the ranks of the overworked junior professors. For a small number of post-doctoral scholars there is now another way; Columbia's Society of Fellows in the Humanities offers an oppurtunity for recent Ph.D.'s toengage in subsidized research and interdisciplinary teaching. ""It's a great oppurtunity to help people interested in diversifying into interdisciplinary work,"" said Judith Johnston, a second year fellow. ""It is serving me very well. I like teaching Humanities. It's a good course to teach. It seems to be a useful thing to have time to do research and publish,"" said Richard McCoy, a first year fellow. Both Johnston and McCoy are members of the first group of 12 presently working at Columbia. The Society was founded in 1976 with endowments from the Andrew Mellon Foundation and the Kenan Trust. In the first year of the two year program the fellows are expected to teach one section of the Columbia Literature Humanities or Contemporary Civilization while developing an experimental, innovative interdisciplinary course to be taught in the second year, possibly in collaboration with a senior faculty member. All the fellows interviewed commented on the advantages of having a breathing space in which to re-examine their discipline in light of what people in other disciplines have been doing. Judith Johnston, whose course onthe literary and historal views of war in the United States, found that her discussions with David Macy, another fellow whose field is history were very useful in helping her to define what area of historical material would be compatible with the aims of her course. ""(They) encourage us not to be parochial, to return our language to a level which can be understood by humanity,"" said Myron Magnet, a first year fellow in English. But the program is young, and is not without its difficulties. The major area of complaint was the narrowness of the focus among its participants. Eight of the twelve present fellows are language or literature-oriented, and the discussions held at the society are found to be very limited. McCoy asserted that Interdisciplinary studies are an intriguing theory, but it is neccessary to have a common ground from which to start.When questioned about the narrowness of focus Professor Steven Marcus, George Delacorte Professor in the humanities and cochairman of the Governing Board of the society, said he was embarassed by the lack of scope in the present fellows but that theyw ere the best qualified. He said he hopes a wider range of disciplines will be represented in future years. Another frequent complaint was the inaccessibility of the senior staff members whose assistance has been sought in the development of the second year experimental courses. ""We are such a new organization that I have to preface any requests with a short speech on who I am and what the Society is"" said Johnston, explaining the problem. She also explained that many senior staff members were unwilling and hesitant about committing themselves to large amounts of time with the fellows. The second year fellows have an added problem. The first sixfellows were chosen from among the Columbia community and therefore are familiar with the people on campus. The second six fellows were chosen by national competition, most of them coming from outside. Thus some of the fellows are finding it difficult even locating the right people to talk to. The Society recently got some good news. It was assured space in a center for the humanities in the new East Campus Dormitory thanks to a $700,000 gift from David Heyman of the class of 1912. Even though the Society is encountering difficulties in its organizaiton, its participants are enthusiastic about its future and about what it is doing for their lives. ""What's so good about it is teaching interesting courses with interesting students and still having time to do research,"" said Magnet. ""We don't feel that our lives would be complete at this time without both."""
3,at the Olympia,20 February 1978,"Beyond and Back. Shows at 2,4,6,8, and 10. Stars no one of any import. This is a sort of semi-documentary based on the stories of what people who were pronounced clinically dead and recovered saw when their souls supposedly left their bodies. It claims that you will not fear death after seeing it— that is, if you can take an afterlife as incredibly boring as this film. In all, it is simply a dreadfully assembled bunch of loose ramblings about science, the afterlife, reincarnation, and philosophy—but you can get all that in your basic Literature Humanities class without payingthe special $3 admission price. This is yet another in the stirring line of such classics as Sasquatch, In Search of Noah's Ark, and The Legend of Bogey Creek, demonstrating once again that real life can be much moreboring than fiction. If you're really so concerned about seeing what an afterlife's like, give your money to the poor. This film has gone far ""beyond;"" hopefully it will never come back after it ends on Wednesday. Words cannot adequately describe the full inanity of this film, with its outrageous pretensions to science. When you die, you will be greeted by deceased relatives, warm light, a sort of Christ-figure, several munchkins, Frodo and Bilbo, and Rod Serling. The total effect of this cinematic effort is an existentialist one, what Sartre would describe as complete ""nothingness,"" a Kafkaesque atmosphere of suffocating futility. In other words, skip it. Rated G. —KEVIN BAKER"
4,"Faculty votes CC, Hum deadline",14 February 1979,"By RICH A RD CAMERColumbia College students must Civilization (CO and Literature Humanities courses by the end of Humanities courses by the end of their junior year, and are ""strongly encouraged"" to complete all the general College requirements by the end of the sophomore year, according to a resolution passed Monday by the Faculty of the College. The resolution, which applies to students in the class of 1981 and after and is effective immediatelyis ""not very different from what College policy is now/' said Paul Valliere, associate dean of the College. Valliere said students are currently encouraged to complete all the general requirements prior to the junior year because they are ""basic education"" courses designed to be taken ""early in the college career to build on."" He said within the last few years students, ""particularly premedical and science majors,"" have been putting these off ""until their uppercollege years."" The resolution, which passed by a majority voice vote, received criticism from a number of faculty, ""mainly from the sciences,"" according to Valliere. Many science professors argued against the resolution, according to Valliere, citing large number of pre-med and science major requirements, which would make it difficult, for students to come finish CC and Humanities early in their college careers. Valliere said the Committee on Instruction (COD studied possible pre-med and science major course programs and found no reason that the requirements could not be completed by the junior year. ""The only exception is in the case of a premedical student who is at the same time a full pre-med and a full physics major,"" he said. Valliere noted that there were few students of this type in any given class. Professor Ronald Breslow, chemistry department chairman, said it was not unreasonable to expect pre-xneds and science majors to complete CC and Humanities by the junior year. However, Breslow and Physics Professor Gerald Feinberg objected to the resolution's wording that students ""are strongly encouraged to complete the general College requirements by the end of their sophomore year."" ""For 25 per cent of our students it is impossible to complete these requirements by the sophomore year. There is no reason to criticize a student for this,"" he said. Both Breslow and Feinberg introduced amendments which would have ""had the effect of watering down the proposal,"" according to Valliere. Feinberg's amendment would have removed the phrase which ""strongly encouraged"" completion of general College requirements by the end of the sophomore year. Breslow's amendment tried to remove the word ""strongly."" Bothamendments were defeated. ""A number of people misinterpreted this as an attempt by the scientists to get away with murder.This was simply not true,"" Breslow said. Breslow said the resolution is ""relatively harmless,"" because it represents only the ""spirit of the faculty.""The resolution Was originally introduced and debated at a meeting of the College faculty last November. Debate was closed by a quorum call which produced a negative response and adjourned the meeting. The resolution passed at Monday's meeting following a short debate, according to Valliere. Valliere said the faculty had not discussed any enforcement of the new junior year requirement. ""It (the resolution) is, in effect, a directive from the COI to students and advisers. Both are asked to insure that the rules of the College curriculum are heeded. We're not necessarily worried about enforcement,"" he said."
5,The College's evolving curriculum Guidelines draw mixed response,19 April 1979,"Guidelines draw mixed responseBy FRED KATAYAMAStudent sentiment is divided over a resolution which establishes a deadline for completing College requirements by the end of the junior year. The resolution, passed in February by the Faculty of the College, calls for students in the class of 1981 and after to complete Contemporary Civilization (CO and Literature Humanities (Lit Hum) by the end of the junior year, and it ""strongly encourages"" students to complete general College requirements by the end of the sophomore year. Paul Valliere, associate dean of the College, said he was not aware of any student objections to the deadline. ""The new resolution should be effected upon next year's class,"" said a freshman pre-med who asked not to be named. ""I've already planned out my schedule. I can still take the same courses, but NOW I have to take them in different order."" Tony Maratea, C'B2, also a premed, agreed. ""Forcing students to take CC or Lit Hum in their early college years will probably interfere in planning a comfortable program. In theory, I suppose it's a good idea,"" he said. Patricia Geisler, assistant dean of Columbia College and advisor topre-meds, said she voted in favor of the deadline. ""I reviewed all of the possible schedules of pre-meds and found that there is no difficulty in getting the required courses in by that time,"" she said. Both Geisler and Valliere stated that exceptions for breaking the deadline will be granted to those who experience severe hardships in fitting the required courses into their schedules. Other pre-meds who were inter-viewed supported the resolution. ""It's great because it makes you get rid of everything early,"" said Lou Brusco, C'Bl. ""That way, it won't get in my way when I take advanced science courses in my senior year. I'm all for it."" Rudy Allen, C'B2, also supported the resolution, commenting: ""In the senior year, you take tougher courses; so it's better to get rid of CC and Lit Hum earlier."" There was also no concensus among students majoring in other fields. Jim Noglia, C'Bl, an economics major, complained that the deadline would make it more difficult for a sophomore to decide upon his major. ""Taking requirements in the early years does not allow the student to take other courses that would give him a more varied background,"" he said. ""When the time comes to declare a major, people find that they haven't taken enough courses to make a decision. I'm definitely notfor the deadline."" Patrick Haughney, C'B2, a political science major, said, ""Requiring CC and Lit Hum by the junior year especially good idea for people who haven't decided on their major. This allows them maximum leeway to fulfill major requirements in their upperclassmen years."" Faculty who teach CC and Lit Hum were strongly in favor of the deadline proposal, according to Valliere because ""CC and Lit Hum are primarily courses for freshmen and sophomores."" Assistant Professor of History Peter Onuf, who teaches a CC section, said ""I understand the rationale behnd Valliere's reasoning that these courses serve as a building block for their education. But at the same time, I feel that the upperclass students have a lot to offer to the freshmen. . .1 enjoy having them (upperclassmen) in my class."" Wallace Gray, Professor ofEnglish, who teaches a Lit Hum section in which the majority are pre-meds, said he voted in favor of the deadline because ""some of the pre-med seniors that I have each year are characterized by a cultural shorthand. ""There are certain books that every student should have read by the time they reach their senior years,"" he said. ""These students would lack the knowledge in philosophy and literature that gives them a good cultural background, thus negating the whole purpose of a Columbia College education."" The optimal cut off date by which College students should finish their requirements including CC and Lit Hum is the end of the sophomore year, according to Valliere. ""Students could complete them by the end of the sophomore year, but it would be difficult for some to finish it by that deadline,"" he said. ""Rather than setting a more severe cut off time, we made it more lenient. ""I'd recommend taking CC and Lit Hum in the freshman year and taking Art Hum and Music Hum in the second year. It's just a myth that it's too tough of a reading requirement,"" he maintained.Paul Valliere . . . requirementsPOW WOW: Students above appear to be oblivious to the impending doom of exam weeß. They, like others, flocked to the green areas and the Low Library steps to celebrate the current mild weather."
6,Disrobing Alma Mater,28 August 1980,"By LEONow that you're finally here, it's the appropriate moment for the process of demystification to begin. First of all, a few handy terms: GUT: Nothing to do with the gastro-intestinal tract, mainly because guts are of little interest to pre-meds, who take things like organic chemistry, by definition the antithesis of a gut. Known variously as a cinch, a mickey mouse course, a tit, etc., the gut is to be found primarily in the area of required courses. Maps for Japs, Rocks for Jocks, and Physics for Poets are examples. But the determined gut-hunter will find one in almost any field of endeavor. GRUB: Sometimes coincides with a nerd. Someone who takes no guts and can frequently be found in the so-called grub room of any campus dorm at night, when any self-respecting student is out playing pinball or drinking beer. PREPPIE: The wide use of this term to describe almost anyone who even whispers ""LaCoste"" or so much as window shops at Brooks Brothers is symptomatic of the student body's collective inferiority complex. Everyone here either wishes he were at Harvard or Yale or hates those who do.INCOMPLETE: Does not refer to the way you feel after you've failed to score at the Pub. It's what you get when you haven't completed all the required work for a course before the end of the term. Some are proud of their Inc's; indeed, they flaunt them. But it's best to avoid the dreaded Inc. unless you enjoy spending your Christmas vacation in Butler Library. DEAN: Someone who avoids you when you want to see him, and who you avoid when he wants to see you. ADVISER: His secretary signs your course-selection card. ACADEMIC PROBATION: Trouble. Guts really are necessary if you - intend to do anything significant outside of schoolwork. They're also a good way to,avoid deans, incompletes and academic probation. The earnest freshman will probably experience pangs of guilt when he signs up for his first gut, but he will soon learn that the benefits far outweigh the toll on his conscience. The best guts are those taught by eminent profs, because they are both easy and interesting. The biggies tend to teach these courses because they're too wrapped up in their research or whatever else they do to bother reading 20 page papers on the categorical imperative.The best way to find good, gutty courses is to get some experienced upperclassman to take you under his wing and show you the ropes. The most notorious guts are usually quite well-known around campus, but there is one drawback, which I call reverse peristalsis syndrome: the prof, aghast at reading his favorable review in Course Guide (""Take it. It's an easy A,"" accompanied by a 5.0 difficulty rating), decided to surprise his class (which last year had 50 and has suddenly mushroomed to 500) by doubling the requirements and adding five pages to the reading list. This is bad. Some old timers have taught guts far too long to be troubled by their reputations; they have something in common with upperclassmen who have long since stopped worrying about throwing away goodmoney learning the finer points of metal shop. Good guts include Human Development, studio art courses, film courses and the like. Don't take science courses, and unless you plan to major in the field, do not take comprehensive surveys intended as a major requirement. If you want to avoid going to class, take large lectures (make sure there are no recitations) where no one notices your absence, or courses that meet once a week. Contemporary Civilization (all the Great Works of philosophy you can cram into a semester) and Literature Humanities (Great Novels) are unavoidable, along with Music and Art Humanities. If you're lucky, you'll get a good prof. If you're not, you'll get an ignoramus TA who probably knows less about the subject matter than you do. The concept behind these courses is good (they're meant to teach basic urbanity) but the scope is too ambitious; they usually turn into a game of intellectual catch-up ball, with teachers frantically trying to lead their students through a bewildering mass of readingmaterial which must be covered on standardized exams. You usually retain enough to enable you to hold your own at West Side cocktail parties, but if you want to get laid, forget it —FIT girls are not impressed by a knowledge of Aquinas or Kant. (You'll find out what FIT is soon enough). Finally, you should know a thing or two about the mysterious workings of Columbia's administration. The university resembles the AustroHungarian Empire in organization, and some pessimists have suggested it will suffer the same fate. The big problem in the past has been an almost complete lack of coordination among the parts or any evidence of centralized planning; so the administration, in its infinite wisdom, decided to divided the academic sphere among three administrators instead of one. So now a troika of academic officers, known as provosts, is in charge; two have been chosen, for the professional schools and for the arts and sciences. The third postition, in charge of the Health Sciences (medicine, dentistry, nursing) has yet to be filled; knowing the Byzantine politics of the medical community, it should be an interesting search. Under the provosts, andresponsible to them, are the various deans of the school, including the Graduate School of Arts and Sciences, the Law School, the School of Engineering and Applied Science, etc. Appended to the mass of 17 schools and divisions are the satellites, namely, Barnard College and Teachers College, which are affiliated but are separate corporate entities. The intellectual divisions, the departments and regional institutes, are small fiefdoms carved out by deans and chairmen and have little in common with real demarcations in scholarship. When you begin to truly understand the realities of Columbia life and you have lost, so to speak, your virginity in your sophomore year, you'll be ready to take a one-year leave of absence as scores of students have done. The best place to go is Reid Hall, Columbia's one-or two-semester French program in Paris, where you can learn the language, do away with your requirement, and become the quintessentially well-rounded Columbia man or woman. A leave of absence gives you the much-needed breath of fresh air; it's best to do nothing if you've been doing something at school, or to do something if you've been doing nothing. When you return, one of two states of mind will greet you; you'll have a completely new, fresh perspective and plunge into academic life once again with vigor, or you'll spend your first month with ruminations of ""Oh my God! What am I doing here again!"" Bon voyage.Grubs."
7,Chaos and heat prompt fistfights during sectioning,4 September 1980,"By BEVERLY WEINTRAUBFistfights erupted among students waiting in the sweltering heat Tuesday morning to sign up for required courses when it was announced that most of the literature humanities sections were already filled. The fighting began, according to Charles Hurd, University registrar, when students who were supposed to section at 11:00 tried to push their way into the line of students scheduled to register at 10:00 in an effort to guarantee themselves a spot in a literature section. Several administrators and security guards were called in to help separate the lines which ""hadgotten all tangled up in a knot,"" said Hurd. Once the lines had been separated, the sectioning process continued smoothly, according to William Kahn, assistant to the dean of student life. Administrators were unable to explain why the literature humanities were closed so much earlier this year than in the past. David Genero, associate registrar, suggested ""there are many more students on campus at this point than there were last year at this point. Genero added he believes many more upperclassmen and students from other divisions in the university than expected signed up for the humanities courses. ""Something has happened that I was not forewarned about,"" he said. ""I'm pretty sure that we were dealing with more students than we had anticipated."" However, Genero also said enrollment in the college's required courses has increased over the last four years. The registrar's office had added mor than two dozen extra humanities sections this year to counter that trend. Hurd attributed the shortage of places in the sections to an increase in the number of transfer students. Frank Ayala, assistant director of admissions, said, however, that transfer enrollment increased by only 17 students over the last year. Rennie Childress, a sophomore who described the whole sectioning procedure as ""really violent"" blamed the confusion on the new procedure for sectioning instituted this year under which students signed up in groups based on the final three digits in their social security numbers. According to Childress, there was only one place open in each humanities section for each group of students. Therefore, all of the places were filled by the time the first 30 students in line had signed up. ""The whole procedure was confused,"" said Childress. ""The best way to get into the section you wanted was to register last week, when there were six open places in each section. The system caters to the people who can afford to come to school a week early, pay for their room, and then go and sign up. The people who can't are left out."""
8,Barnard shut out of East Campus as talks fail,17 March 1981,"By TODD BRESSIProposals to increase the trade of dorm spaces between the College and Barnard collapsed last week, shutting the East Campus Dormitory to Barnard women next year and thwarting the latest attempts to exchange freshmen rooms in Reid and Carman Halls. The College room lottery began yesterday, sealing Barnard's rejection of a proposal last week that would have reserved 105 beds in East Campus, 49 in Carman and 10 each in Hartley and Livingston for Barnard women, according to Ed Fox, chairman of the Central Undergraduate Dormitory Council. College officials also hoped earlier this year to trade some of the Carman space for beds in Reid Hall, Barnard's all-female, freshmen dorm, but the lottery appears to have imposed a deadlinefor accomodation, they said. University officials would not rule out the possibility of arranging a trade of freshman dorm space before freshmen room contracts are signed this summer. ""But as far as I can tell,"" College Dean of Students Roger Lehecka said last night, ""Barnard has rejected the idea.""Fox, the proponent of an earlier plan to swap 70 spaces between Carman and Reid, said it was Barnard Interim President Ellen Flitter who rejected the 174-bed package. ""It didn't collapse on our side,"" he said. ""It had no reason to."" Barnard housing officials wereunavailable for comment. Other efforts to increase cooperation between the schools may have stalled, too. Talks between high-level officials, concerning what Provost for the Professional Schools Peter Likins described earlier this year as ""dining halls, dorms and classes,"" are not progressing with ""the same kind of optimism"" as they had been earlier, Likins said last night. The discussions include a proposal to require Barnard students to take Masterpieces of European Literature and Philosophy (Literature Humanities) and let Barnard faculty members teach eight of the course's 28 sections, according to Carlos Carro, a member of the select College committee investigating ways of increasing coeducation at the College. Likins indicated a unified freshman composition requirement was also under discussion. The coeducation committee members were told by chairman Ronald Breslow last night talks ""had reached a low but seemed topick up momentum this week,"" Carro said. He said Futter postponed an appearance before the committee—planned for last night—until its next meeting March 30 because ""she would prefer to talk in an open and honest way on all issues she could be confronted with."" Fox said a ""slim"" hope of trading some freshmen rooms rests on whether the sides can reach a compromise when Futter meets with the committee. The only undergraduate women in Carman and East Campus next year will be engineering students, Shirley Banker, the university's associate director of residence halls, said yesterday. Women from the School of Law will live in East Campus, but they will ""be in a sense segregated,"" she said. Law students will occupy the townhouses at the base of the complex, and undergraduates will occupy the tower.Ellen Fuller . . . no slunv"
9,Cautious BC vetoes housing swap,18 March 1981,"By TODD BRESSIEfforts to increase coeducation in the dormitories collapsed last week because Barnard wants to approach the issue of cooperation as a ""whole picture"" and not in ""bits and pieces,"" Barnard Vice President for Student Affairs Barbara Schmitter said yesterday. Barnard Interim President Ellen Futter ""did not reject"" the latest proposal, which would have allotted Barnard 105 beds in East Campus, 49 in Carman and 10 more inHartley and in Livingston, Schmitter said. ""She just wasn't able to accept it at the moment,"" she explained. ""We are interested in getting everything straightened out at once, not in little pieces,"" she said. The housing trade is ""part of a bigger picture"" and Barnard must determine ""how it fits in"" with the cooperation issue, Schmitter said. She said ""the whole picture"" is being discussed by Futter, Barnard Vice President for Academic Affairs Charles Olton and Columbia Provosts Peter Likins and Fritz Stern. Likins said earlier this year the ""informal"" discussions concerned ""dining halls, dorms, and classes."" Schmitter would not rule out the possibility that a trade of freshman spaces could still be arranged, but she said she does not know what Futter, Olton and the provosts are discussing.""She's very much not talking about what she's talking about with other people,"" Schmitter said. Likins said Monday night the talks with Futter had left him ""less optimistic"" about whether the College and Barnard could achieve further cooperation through the talks. According to sources, one of the topics discussed at the talks was a proposal to make Masterpieces of European Literature and Philosophy (Literature Humanities) a Barnard core requirement. Officials on the schools' Committees on Instruction, however, said they have not been asked to consider such a proposal. College Associate Dean Michael Rosenthal said he had heard only ""rumors"" of the idea, and that a proposal had not reached the COIs.He would not comment further. The Barnard COI ""tossed the idea around"" earlier this semester in a discussion of the schools' requirements, Schmitter said. Barnard students can use Literature Humanities to fulfill their distribution requirement. She said if a proposal came before the Barnard COI it ""would get a sympathetic, serious discussion,"" but she said she could not predict whether the measure would pass.SPECTATOR PHOTO OVER AND OUT GOOD BUDDY: A protestor cheers on his fellow picketers in front of Harlem Hospital last night.Peter IJkins . less optimisl'u"
