,search,title,date,body
0,Art Humanities,Livelier Arts,12 February 1964,"The Humanities B courses—art and music —may seem very different in content from Humanities A. Yet in the view of the Stern Committee, similar principles underlie similar recommendations. The principles are that more intellectual precision and discipline are needed, and that ""models of discourse"" are desirable. The principal suggestion is for more and better readings. We think both the principles and recommendations are sound, even more clearly so than in Humanities A. Art and music, after all, are ""foreign languages"" to many students. Without a rigorous approach, involving the development of a scholarly and critical attitude, they tend to remain so. ""The student,"" as the Stern Committee says, ""must be given sufficient guidance so that he can move towards a disciplined vision of a work of art."" In the case of both the art and music courses, the committee has concluded, and the staffs have agreed, that superior readings would enhance the understanding of the works studied and also of the principles embodied in them. In each case, it was also found that no existing book could properly perform these functions. For art humanities, the staff will develop a volume with essays that illuminate historical and cultural contexts, and also serve as models of analysis. In music, an analagous collection of readings will be created. As in Humanities A, there is always the possibility that the student will copy his model of discourse rather than learn from it. In Humanities B, however, the risks are small compared with the potential gain. Too many students have no idea at all of how to respond to or understand a work of art. Better readings can help the instructor give them that knowledge. One other recommendation, with regard to art humanities, strikes us as particularly good. It asks that guided visits to museums be an integral part of the course. With New York's abundant artistic resources, it has always seemed strange that discussion between teacher and student should take place only in front of slides of varying quality. The music humanities staff might also consider further ways of exploring New York's artistic resources. The rich program of concerts in the city, in particular, might be used more extensively. The acceptance of the proposals on Humanities B by the respective staffs is promising. The Stern Committee's recommendations will help improve two courses that are worthwhile in their purposes, but could be better in some of their practices. (This editorial is the last of three on the report of the Dean's Committee on the Humanities Courses in Columbia College.)"
1,Art Humanities,Humanities B Staffs Study New Readings Committee Calls Present Materials Inadequate,20 April 1964,"Committee Calls Present Materials InadequateBy Michael T. GenglerThe staffs of Music and Fine Arts Humanities are currently collecting materials for new second-year humanities textbooks, in line with the recent recommendations of the special committee on the humanities courses chaired by Professor of History Fritz Stern. The present reading assignments were found inadequate by the Stern Committee, which suggested that each staff ""collect and commission"" a collection of readings for its course. The recommendations of the Stern Committee on Humanities B were referred ""with favor"" to the staffs in December by the Committee on Instruction. Professor of Art History Everard M. Upjohn, chairman of Art Humanities, said last week that a committee had been appointed ""to collect what material may be appropriate"" for a course textbook. The committee is headed by Saul Levine, an instructor in art history. Professor Upjohn termed the committee's task ""a very longrange undertaking."" He added that the staff has no immediate intention of changing the readings now offered until the committee has finished its work. The chairman of Music Humanities, Associate Professor of Music Jack Beeson, said that the staff had begun talking about a new selection of readings for its course last year, before the Stern Committee had presented its recommendations. He hoped that the new readings would be ready in .mimeographed form for use next year. The readings will consist of composers' letters and essays, as well as critical reviews from various historical periods. Professor Beeson said that the Music Humanities course was being reorganized to give instructors the opportunity to be ""more specific"" in their, discussions of the music. Listening periods will be used for the uninterrupted playing of music. Instructors will discuss overall features of style or organization of specific pieces as theychoose in class. Professor Beeson hoped that there would be ""a minimal concern with background materials"" in regular class hours. The readings will give students a historical background — ""what people have thought about music"" —Professor Beeson said. The Stern Committee made several other recommendations concerning the Art Humanities course. It questioned whether the chronological approach now used was the best/way to conduct the course. Professor Upjohn said that new iristructors are now encouraged to follow the order of the syllabus, which is chronologically arranged,but that as instructors gain experience, they are free to vary this approach. Another recommendation of the committee suggested that supple-mentary classes be scheduled in late afternoons and used for guided museum visits; Professor Up John said that Art Humanities instructors are already expected to conduct at least one such visit each term, and preferably two."
2,Art Humanities,Ivan M. Weissman Goodbye—024633,1 June 1964,"Goodbye— 024633024633 ends its career today. The Graduate School of Journalism will offer a different Columbia identification number in the fall. The number which has been mine throughout my undergraduate years ought to be retired. 024633 has experienced so much that asking for four more years at Columbia College would be gluttonous. The day I merged with 024633 was unforgettable. Upperclassmen told freshmen the annual legends of men starving while waiting on registration lines. Disliking hunger, I arose early to beat the hordes on freshman registration day. The effort was futile because it still took three hours to ""be processed."" I emerged from the line awed at the complexity of the Columbia bureaucracy. More importantly, though, I knew that I really belonged. I had been given my own identification number. Adjusting from high school senior to 024633 was difficult. The amount of work required was absurd and New Hall was a prison. Nothing was left to believe in. My C.C. instructor could find fallacies in the arguments of men who seemed totally convincing when read in my room the night before. Professor Shenton destroyed my belief in the perfection of demigods of American history. My English instructor found so much to criticize that my papers were returned with comments longer than my composition. Being 024633 made me a man. I learned to stay up all night. I learned to stomach Ta-Kome food. I adjusted to having gym at 9 a.m. I resisted the lures of the pitchmen from fraternities. 024633 and I grew compatible. C.C. and Humanities came as revelations after a staple diet of Amsco ■Review Books and pat high school explanations. After bold experimentation with crew and lightweight football, my survival instincts prompted membership in Spectator and WKCR. 024633 soon became a worldly sophisticate among identification cards. As a broadcaster for WKCR and reporter for Spectator, I became a frequent visitor to exotic ports of call such as Providence, New Haven, and Ithaca. These road trips with Columbia teams destroyed the illusions of glamorous life at other Ivy League campuses. The parties of Cornell seemed monotonous, the values of beautiful campuses seemed transitory, and being anyplace but in New York seemed unthinkable. Suddenly I was proud to be 024633 of Columbia. 024633 and I were being molded into ""whole men."" How could we be otherwise after music and art humanities? Culturation occurred despite great obstacles. Forgiving the Metropolitan Opera for darkening the hall and making note-taking imposs-ible was difficult when a concert report was due the following morning. The list of paintings to be viewed at museums before the art exam caused a frenzied trip downtown. My colleagues vowed to look only at required paintings to avoid becoming confused. Surprisingly, most of us advanced to higher levels of dilettantism in advanced music and art courses. 024633 and I endured many academic battles. Completing the math-science requirement was an epic feat. We even earned the nickname of the ""green giant"" for performance in botany. We brought cheer into the humdrum existence of a guard while completing a fifty page paper for Professor Metzger. We camped all night in my father's downtown office to take advantage of the electric typewriter, air conditioner, and stocked refrigerator. The building watchman was delighted by our company and wanted to know if we would return to chat every evening. 024633 and I think we took the best College courses. The race to keep pace with fast-talking Professor Rothschild was lost in a course on western Europe but the course was brilliant despite an incomplete notebook. We felt compelled to record every word of the eloquent Professor Metzger in his United States in the Twentieth Century course. Humanities 3-4 was dessert after Humanities A. Our senior seminar on political leadership climaxed a stimulating experience. 024633 and I were enticed by extracurricular activities. Spectator became our child. Its demands for attention were relentless. When mistakes were made, cab trips to the plant were taken at 2 a.m. After Saturday night dates, all-night vigils to prepare Monday's paper were often necessary. We complained about the newspaper's insane demands. Somehow we always thought that it was worthwhile. 024633 and I saw a crucial change in Columbia sports during our four years. Losing was normalcy during our freshman year. A football championship in our sophomore year and the arrival of two exciting young coaches —Jack Rohan for basketball and Carl Ullrich for crew—made Columbia a winner. 024633, a child of IBM, noticed only an improvement in winning percentages. A more sentient observer could detect the greater assimilation of the athlete into the Columbia community. Winning improved campus morale. Archie Roberts became a household word. Coaches imposed stricter standards of behavior on athletes. Athletes complied because they respected their coaches.024633 and I share memories of vicarious participation in Columbia athletics. The experience of describing President Kennedy at the Harvard-Columbia football game in the WKCR broadcast and Spectator story won't be forgotten. The stories of football victory over Cornell and the basketball upset of Princeton will provide lively fodder for alumni gatherings. Some memories are more personal. The moments of interviewing Archie Roberts after Columbia lost Homecoming Game to Princeton seemed interminable when neither of us knew what to say. The pain of Mohawk Airlines nights to Ithaca will remain in my stomach. The hardiest of Columbia athletes cringed with fear at these airborne adventures. 024633, time has run out. The range of our experiences together has been vast—from discovery of the half-truths of horror stories about Barnard to inspiration by professors whose incisiveness was awesome. A wag with access to an IBM machine prepared punch cards as mock diplomas. His aim was to parody 024633. The jest is weak. Four yf ars at Columbia have been more stimulating and weighted with personal meaning than an identification to the Columbia registrar will ever indicate — 024633 of the Class of 1964."
3,Art Humanities,The Art of Teaching Art,28 September 1964,"Anyone who has ever to Prof. Everard M. Upjohn feels a bit prouder for being at Columbia. Anyone who has ever been in one of his classes and seen him in action has come to admire his sytle. For the man has the attributes of a great and memorable teacher. Witty and frank, Art History's departmental representative is a master of the teaching art. Despite the image of severity he has acquired, most of his students leave his class eager to have him again. Even those who have never met him will find an ally in Professor Upjohn as critic of new eampus architecture. Ferris Booth and New Halls, says he, ""are a major architectural disaster, extraneous and unrelated to a campus which before was an integrated whole. They look as if they are thumbing their nose at everything about them, and their visual relationship to the surroundings is deplorable."" Professor Upjohn, who was originally brought to Columbia in the fall of 1935 to develop the undergraduate division of the University's Fine Arts department, likes to think that his department is run like ""a taut ship."" He is sometimes reassured of this when one of his colleagues salutes before speaking to him. Remembering the past with fond memories, Professor Upjohn is still very much a man of the future. When he suggested, shortly after World War H, that Art Humanities be made a required course, he wastold by a veteran faculty member that he ""had just voted himself out of a job."" Today, administering the course to some 750 stuients, he finds, in light of the Stern Committee's report, that his department has already had most of the committee's prposals in effect for some time. His staff, for example, prepares the final examination collectively, and includes material not covered in class on the examination. Instructors already cover one or two topics more comprehensively than other topics. (These were among the Stern Committee's recommen-dation.) Most instructors conduct museum trips which are still optional merely because the staff does not deem the existance of 'museum trip sections' feasible. Only background readings continue to play a secondary role, and Professor Upjohn explains that ""we've been working halfheartedly at this problem partly because I am not at all convinced that more extensive reading would strengthen the course."" As are all departments, Art History is plagued by the perennial problem of men who can be found in the Graduate Faculties but who are reluctant to teach undergraduate courses. Professor Upjohn is all for experienced teachers but strongly suggests that ""while young men are less profound in experience, they have enthusiasm and freshness of approach which we many not get in our older professors who sometimes never reach their class with their depth. If a person is really going to be good, he has to feel that this (Art Humanities) is God's gift to the College; that it is more important than a seminar."" Professor Upjohn is a happy man who thinks of his work as ""a source of enjoyment, a real intellectual satisfaction."" He regards his department ""as healthier than ever,"" and firmly rejects the suggestion that the liberal arts college is slowly folding into its grave. To him the College student is ""extraordinarily alive, intellectualy curious and mentally lazy eager to short-circuit, to jump to discussion without the facts to back it up."" Comfortably snug in his upholstered chair, a rascal smile on his face, Professor Upjohn talks with obvious delight about his moments of relaxation. Every day without fail he hastely eats his lunch at the Men's Faculty Club and then ""puts in"" some thirty minutes of bridge. He carefully explains that he can work more efficiently in the afternoon. Back in the '30s Professor Upjohn belonged to the Dean's Protective Association, a clan whose membership included several deans and apresident of Teachers College, all avid bridge players. It is comforting to speak to a man of his rank who confesses that he does not ""pretend"" to understand modern art. ""I still prefer something I can recognize; I can't stomach modern art, it leaves me cold,"" he adds emphatically. Concerned about Columbia's future, Professor Upjohn hopes thatthe planned expansion for the College will not begin before ho retires. To a man who crmsidars Columbia unique iri its approach to general education, the thongut of inevitable growth is somewhat disturbing. For he suspects that expansion ""will occur before we are ready for it with expanded staff and facilities, and will force us away from discussion classes to big lectures, thus throwing us thirty to forty years back."" Professor Upjohn is a rare specimen in a University in which a large segment of the faculty prefers research to teaching. He looks eagerly forward to the future even though it will eventually lead to his retirement. And he only hopes that when the time has come to retire, there will still be a few bridge players around. - DANIEL EPSTEINEverard M. Upjohn"
4,Art Humanities,Art Humanities to Drop Department-Wide Finals,14 December 1966,"Final examinantions drawn up by individual professors will replace departmental teste in Art Humanities this semester for the first time, according to Professor of Art History George R. Collins. These will be the firsit non-de-partmental finals to be given in any Humanities course, Professor Collins said yesterday. Music Humanities and freshman Humanities will continue to administer departmental itests. Professor Coillins noted that the individual exams are on an experimental basis, and faculty and student reaction will determine whether they are continued."
5,Art Humanities,Branner to Head Art History Dept.,16 February 1968,"Professor Robert Branner will become chairman of the Department of Art History and Archeology on July 1. He replaces Professor Rudolph Wittkower, who has been head of the department for 12 years. Professor Branner received his BA in 1948 and his PhD in 1953. Before comingto Columbia in 1957, he was an assistant professor at the University of Kansas. A specialist in medieval art and architecture, Professor Branner presently teaches a section of the Art Humanities course and a graduate proseminar in medieval art. Professor Wittkower plans to retire in July, 1969, and .will take a sabbatical leave during the academic year 1968-69.Robert Branner"
6,Art Humanities,Art History Struggles for Space,5 March 1969,"By JIM SHAWThe entire staff of the art history department may resign from the University, suspend classes, or demonstrate ""in or around"" Low Library unless the administration provides the department with increased space and facilities before next fall, Robert Branner, professor of art history and chairman of the department, stated yesterday. In an hour-long interview yesterday aftenoon, Professor Branner decried the ""hopelessly inadequate"" facilities available to his department and said that the departmental staff —which met yesterday to consider the problem will definitely take some action to protest the matter. ""No one is willing to take the decision to help my department,"" Professor Branner declared. ""The administration keeps sweeping it under the carpet."" The art history department, which includes 57 faculty members and about 180 graduate students, is housed in nine offices on the sixth and eighth floorsof Schermerhorn Hall. None of the department's professors., including Professor Branner, have private offices and most of the art history faculty is crowded into multiple, unpartitioned suites. In two offices on the eighth floor of Schermerhorn, five faculty members, including several full professors, share the available space. In another room, eight faculty members crowd the office. Professor Branner stated that his department would need 42 rooms to provide each professor with a private office and allow instructors ""double occupancy."" The department chairman noted that more than 1200 undergraduates —including several . hundred who enroll in required Art Humanities sections —take courses in art history each semester and he said the depart'ment's facilities, particularly the art library, are insufficient. The Fine Arts Library, which is also located on the eighth floor of Schermerhorn, will runout of stack space by the end of this year, Professor Branner said. There are only 38 study spaces available in the stacks, he said, and only graduate students are granted access to the rear library shelves. The office of the librarian is situated in a narrow area in the stacks and his ""annex,"" including a desk for ordering library cards, is located in the middle of the reading room. Last month, the librarian of the Fine Arts Library, Robert C. Kaufman, resigned his post effective August 31, scoring the administration for neglecting theart history facilities. '""Terms such as 'inadequate space' fail utterly to describe the hell-hole which the Fine Arts Library has become to its staff and users,"" Mr. Kaufman wrote in his letter Of resignation. ""No other members of the University community work in such miserable quarters and with such poor, inadequate, outmoded, decrepit, ugly, and badly arranged, meanly-housed equipment as does my staff,"" he charged. Until recently, the department's collection of 100,000 photographs, valued by Professor Branner at $250,000 were housed in a sixth floor hallway where they were a fire hazard. The photographs have been moved to 420 Schermerhorn, but, according to Professor Branner, the room is not large enough to allow students to carefully seek out and examine the photographs. Professor Branner said the administration offered his department the use of Myles Cooper Hall on 110 th Street about four years ago. But, shortly after the department accepted the offer, the building became unavailable.When the department recently petitioned the Trustees for space, the chairman said, a Trustee committee inspected the department's facilities and' voted to offer the art history staff McVicker Hall, which currently houses the School of International Affairs. That hall, however, proved to be too small for the department, he said. The University has considered plans for constructing a joint Arts Center on Amsterdam and 115 th Street to house the Music, Fine Arts and Architecture departments but the art history chairman is not optimistic about this plan. ""We've had assurances all along,"" he said. ""That we would do nothing at this point is not a possibility."" * !CLOSE QUARTERS: The art history department is hoping to expand its facilities. Librarian's office is shown here."
7,Art Humanities,Music Humanities Faculty Approves Pass-Fail Grading,14 March 1969,"By JURIS KAZAThe Music Humanities teaching staff has approved a proposal by the College Committee on Instruction to adopt pass-fail grading in its Humanities B courses next semester, Joel Newman, associate professor of music, said yesterday. According to Vice Dean Thomas S. Colahan, now that the humanities instructors have adopted the suggestion of the Committee on Instruction, the matter will be referred back to the committee for final approval. ""The committee is taking the initiative,"" Dean Colahan said yesterday, ""to put to the test the 'mystical quality' ascribed to pass-fail grading."" Robert Branner, chairman of the department of art history and archaeology, said yesterday that he felt ""pass-fail can be tried in Art Humanities courses next year on an experimental basis."" Professor Newman also said that students in all fourteen Music Humanities sections are being polled on the adoption of pass-fail grading for the current semester. He added that a ""plurality of Music Humanities instructors agreed 'to present the student poll to the Committee on Instruction."" According to Dean Colahan, the Committee's proposal called for giving pass-fail grades ""in the usual manner, with the registrar converting letter grades into a P or F on the student's record."" Dean Colahan termed the Committee's proposal ""a meaningful experiment with a large population"" . He said that individual classes requesting pass-fail grading ""wouldn't prove a damn thing"" be-; cause of the small number of students involved. Recently the teaching staff of English A rejected aproposalfrom . the Committee on Instruction to place half of all freshman composition classes on pass-fail grading this semester."
8,Art Humanities,Hovde to Release Pass-Fail Plan For Basic Freshman Courses,14 April 1969,"By MARTIN FLUMENBAUMThe College Committee on Instruction has recommended that students enrolled in almost all of the required degree courses next year receive a grade of either pass or fail. The proposal, if approved by the College faculty later this month, would place virtually the entire freshman year on a mandatory pass-fail basis. In a statement prepared for release today, Dean Carl F. Hovde said that the plan combines ""thepossible virtues of the pass-fail system"" with the committee's conviction ""that students must be carefully evaluated by their teachers."" The' one-year pass-fail plan would include the three basic freshman year courses —Humanities A, English composition and Contemporary Civilization A—as well as all introductory language courses, art humanities, and music humanities. In addition, the committee re-commended that five year-long ""poet's"" sciences coursesastronomy, biology, chemistry, mathematics, and physics—be included in the grading experiment. Any two of these five courses can fulfill the current math-science requirement. The entire experimental plan is subject to review after one year. The eleven-man committee also suggested three alternatives for evaluating student performance in the mandatory pass-fail course. First, instructors could indicate the performance of any student working below C level at midterms. A second option would be to submit letter grades at the end of each semester to the Dean's Office, with the understanding that they would not appear on the student's permanent record. Third, for those faculty members who think that even unrecorded grading impedes proper learning, the committee proposed that instructors complete questionnaires at the end of the semester evaluating their students. The questionnaire could rate each student on his class attendance; the amount of readingcompieted before class discussions; overall command and control of the materials and techniques of the course; written performance in class; and participation in class discussion. A typical set of evaluations used on the committee's sample questionnaire listed the following gradations in performance: ""suberb, fine, solid, adequate, and inadequate."" The instructor is also asked to evaluate term papers and judge the student's ability to ""make testable formulations"" and ""marshal an argument."" The instructor can also recommend a student for academic awards, tutoring, or even psychiatric help. Dean Hovde stated that there are two major reasons why the committee's proposal focuses on the freshman year. ""Students entering selective colleges have for many years been under pressure to collect as many good grades as possible,"" the Dean said. ""It may prove to be true that a first year without publicly recorded fi-experiment primarily because letter grades in the courses were thought necessary for medical and graduate school applications.^, The Committee on Instruction is the College's academic de-cision-making body, and must approve all curricular and grading reforms. A faculty smoker will .be held April 21-to discuss the proposal. Later this month the College faculty will meet to make a final decision. Under the College's current pass-fail option, instituted in September 1967, a student may register for pass-fail credit for only one non-required course per semester. If the proposal is approved by the faculty, however, freshmen or sophomores who take mandatory pass-fail courses will not be permitted to use the regular passfail option. At the request of the Human •Development staff, the Committee "" on Instruction also recommended that all courses in that department be graded on a pass-fail b,asis.nal grades will make students more comfortable without reducing the will to work."" He also remarked that ""passfail entries for the first year will not prejudice our students in their applications to graduate school."" The proposal omits introductory science courses required for majors in chemistry, psychology, mathematics and physics. These were excluded from the pass-fail•/-'. The following is the text of Dean Hovde 's announcement: The College Committee on Instruction is putting forth for consideration by faculty and students a proposal which, if approved for trial, would put the freshman year substantially on a pass-fail basis. We have spent many hours talking about the various suggestions which have been made about the grading system, and while doing so we have on principle denied individual requests for exceptions to ten present letter-grade system. To have done otherwise would have been to change by special precedent a system established by the faculty long ago, and in a matter where there are strong arguments for common practice and control. In making this proposal we have tried to balance twothings--on the one hand, the possible virtues of the pass-fail system and, on the other, our firm conviction that students must be carefully evaluated by their teachers-no change in grading can be permitted to diminish this. The proposal focuses on the freshman year for, several reasons. Students entering selective colleges have for many years been under pressure to collect as many good grades as possible, and it may prove to be true that a first year without publicly recorded final grades will make students more comfortable without reducing the will to work. It is to be noted that our plan assures just as much information as we now have about performance for Columbia's own purposes-the only change is that the final grades would not be recorded on the transcript. That we suggest this for freshman courses does not indicate any feeling that these courses are ""less important"" than more advanced work; but we feel, among other things, that pass-fail entries for the first year will not prejudice our students in their applications to graduate schools, which are primarily concerned with upper-college performance, particularly in the major. It was for a similar reason that we omitted the introductory science courses which are important public evidence for students who. are applying to some graduate programs, medical school being an example. We propose this plan for trial in the coming academic year.II 111 Ml ■■ I 111 I I 1 EEM^^^m^— A Note to Some Skeptical Readers Who Thought Friday's Spectator Was an April Fool's Issue Once a year reporters on Spectator prove to themselves that the events in the so-called real world which they cover are not so different from complete fiction. That annual occasion came last Friday when our April Fool's issue appeared. We regret that the difference between reality and fantasy is so narrow. One Rockland paper almost printed that the county would soon be the site of an ABM installation. But, as one professor explained, when people have an orientation toward calamity, they become especially gullible. Of course, we have only one April Fool's issue a year. The rest of the time we pretend that our readers are relentless skeptics. Spec men are out covering demonstrations, interviewing faculty members, speakingto impeccable sources, reviewing concerts, checking out rumors, attending press .conferences, describing speeches, watching baseball games, sampling new restaurants, contacting irate tenants, speaking to reliable sources, examining city records, condensing 99page reports, analyzing recent books, looking into related developments, noting down pungent comments from witty administrators, speaking with well-informed sources, amassing funds of background knowledge to slip into news briefs, speaking to sources who prefer to remain anonymous, covering demonstrations 'Carl F..Hovde"
9,Art Humanities,Faculty May Reject Pass-Fail Plan,12 May 1969,"By MARTIN FLUMENBAUMThe College faculty will probably reject the passfail proposal for basic liberal arts courses approved last month by the Committee on Instruction, Dean Carl F. Ilovde predicted last week. ""My suspicion is that it will be voted down,"" he stated. According to the Dean, ""the majority feeling"" at an informal faculty smoker last Tuesday was against the pass-fail proposal. The faculty is scheduled to vote on the plan May 19. II the plan is endorsed, students next year will receive grades of either ""pass"" or ""fail"" in Humanizes A, first-year Contemporary Civilizations, English composition, introductory language courses, art humanities, music humanities, and five ""poet's"" science courses. The entire experiment would be subject to review after one year. Dean Ilovde also stated that the proposal suggested by Professor of English Quentin Anderson for a single ten-point course for freshmen met only scattered opposition at the smoker and has a ""good chance"" of being approved at the official faculty meeting next week. The ten-point course, which was recently approved by the Committee on Instruction, would replace CCA, Humanities and English composition for 150 freshmen next year. The pass-fail proposal would place virtually the entire freshman year on a mandatory pass-fail basis. Dean Ilovde said that ""almost every conceivable objection was raised"" to the grading change.Vice Dean Thomas S. Colahan remarked that at the smoker the Committee on Instruction ""came out looking like a bunch of radicals."" ""There was considerable opposition to the Anderson proposal from the younger faculty,"" Dean Colahan stated. ""On the question of pass-fail, everyone was pushing their own plans."" The Anderson proposal has been strongly criticized by the College Undergraduate Academic Affairs Committee, which contends that the Anderson plan lacks ""breadth"" and would be ""demoralizing"" to freshmen who-lose interest in the selected topic. The student group has suggested an alternative plan which would eliminate English compostion and substitute in its place a course modeled on English 1003, involving intensive examination of a single work or author. In addition, the committee's proposal would enable freshmen to take any one of the three major required courses as a seminar."
